,source,target,prediction
18252,Baw-Jhiune Liu,David Clark,N
18253,Baw-Jhiune Liu,David Clark,N
18254,Baw-Jhiune Liu,David Clark,N
18255,Jitender S. Deogun,David Clark,N
18256,Jitender S. Deogun,David Clark,N
18257,Jitender S. Deogun,David Clark,N
18258,Theodore Faber,David D. Clark,N
18259,Theodore Faber,David D. Clark,N
18260,Theodore Faber,David D. Clark,N
18261,Jean-Luc Gaudiot,David D. Clark,N
18262,Jean-Luc Gaudiot,David D. Clark,N
18263,Jean-Luc Gaudiot,David D. Clark,N
18264,Marta Z. Kwiatkowska,David D. Clark,N
18265,Marta Z. Kwiatkowska,David D. Clark,N
18266,Marta Z. Kwiatkowska,David D. Clark,N
18267,Scott Jordan,David D. Clark,N
18268,Scott Jordan,David D. Clark,N
18269,Scott Jordan,David D. Clark,N
18270,Xiao Wang,David D. Clark,N
18271,Xiao Wang,David D. Clark,N
18272,Xiao Wang,David D. Clark,N
18273,Halim Yanikomeroglu,David D. Falconer,N
18274,Halim Yanikomeroglu,David D. Falconer,N
18275,Halim Yanikomeroglu,David D. Falconer,N
18276,Hamid Aghvami,David D. Falconer,N
18277,Hamid Aghvami,David D. Falconer,N
18278,Hamid Aghvami,David D. Falconer,N
18279,Sayandev Mukherjee,David D. Falconer,N
18280,Sayandev Mukherjee,David D. Falconer,N
18281,Sayandev Mukherjee,David D. Falconer,N
18282,Bart Jacobs 0001,David D. Falconer,N
18283,Bart Jacobs 0001,David D. Falconer,N
18284,Bart Jacobs 0001,David D. Falconer,N
18285,Shin Ishii,David D. Falconer,N
18286,Shin Ishii,David D. Falconer,N
18287,Shin Ishii,David D. Falconer,N
18288,Alex K. Simpson,David D. Falconer,N
18289,Alex K. Simpson,David D. Falconer,N
18290,Alex K. Simpson,David D. Falconer,N
18291,Clif Flynt,David D. Woods,N
18292,Clif Flynt,David D. Woods,N
18293,Clif Flynt,David D. Woods,N
18294,Munindar P. Singh,David D. Woods,N
18295,Munindar P. Singh,David D. Woods,N
18296,Munindar P. Singh,David D. Woods,N
18297,Jing-Sheng Song,David D. Yao,N
18298,Jing-Sheng Song,David D. Yao,N
18299,Jing-Sheng Song,David D. Yao,N
18300,Rakesh Kumar,David D. Yao,N
18301,Rakesh Kumar,David D. Yao,N
18302,Rakesh Kumar,David D. Yao,N
18303,Xun Yu Zhou,David D. Yao,N
18304,Xun Yu Zhou,David D. Yao,N
18305,Xun Yu Zhou,David D. Yao,N
18306,Marco Conti,David D. Yao,N
18307,Marco Conti,David D. Yao,N
18308,Marco Conti,David D. Yao,N
18309,Nassir Navab,David D. Yao,N
18310,Nassir Navab,David D. Yao,N
18311,Nassir Navab,David D. Yao,N
18312,Ah Chung Tsoi,David Dagan Feng,N
18313,Ah Chung Tsoi,David Dagan Feng,N
18314,Ah Chung Tsoi,David Dagan Feng,N
18315,Bernard Mourrain,David Dagan Feng,N
18316,Bernard Mourrain,David Dagan Feng,N
18317,Bernard Mourrain,David Dagan Feng,N
18318,Jozsef Bokor,David Dagan Feng,N
18319,Jozsef Bokor,David Dagan Feng,N
18320,Jozsef Bokor,David Dagan Feng,N
18321,Iain S. Duff,David Dagan Feng,N
18322,Iain S. Duff,David Dagan Feng,N
18323,Iain S. Duff,David Dagan Feng,N
18324,Daniel A. Griffith,David Dagan Feng,N
18325,Daniel A. Griffith,David Dagan Feng,N
18326,Daniel A. Griffith,David Dagan Feng,N
18327,Jing Huang,David Dagan Feng,N
18328,Jing Huang,David Dagan Feng,N
18329,Jing Huang,David Dagan Feng,N
18330,Francis Heylighen,David De Roure,N
18331,Francis Heylighen,David De Roure,N
18332,Francis Heylighen,David De Roure,N
18333,Clarisse Sieckenius de Souza,David De Roure,N
18334,Clarisse Sieckenius de Souza,David De Roure,N
18335,Clarisse Sieckenius de Souza,David De Roure,N
18336,Alberto Macii,David De Roure,N
18337,Alberto Macii,David De Roure,N
18338,Alberto Macii,David De Roure,N
18339,T. Aaron Gulliver,David De Roure,N
18340,T. Aaron Gulliver,David De Roure,N
18341,T. Aaron Gulliver,David De Roure,N
18342,Alain Giorgetti,David Déharbe,N
18343,Alain Giorgetti,David Déharbe,N
18344,Alain Giorgetti,David Déharbe,N
18345,Ulrich Meyer 0001,David E. Avison,N
18346,Ulrich Meyer 0001,David E. Avison,N
18347,Ulrich Meyer 0001,David E. Avison,N
18348,Henk Norde,David E. Avison,N
18349,Henk Norde,David E. Avison,N
18350,Henk Norde,David E. Avison,N
18351,George L. Vairaktarakis,David E. Avison,N
18352,George L. Vairaktarakis,David E. Avison,N
18353,George L. Vairaktarakis,David E. Avison,N
18354,Frank E. Bennett,David E. Avison,N
18355,Frank E. Bennett,David E. Avison,N
18356,Frank E. Bennett,David E. Avison,N
18357,Douglas M. Blough,David E. Bakken,N
18358,Douglas M. Blough,David E. Bakken,N
18359,Douglas M. Blough,David E. Bakken,N
18360,Piero A. Bonatti,David E. Bakken,N
18361,Piero A. Bonatti,David E. Bakken,N
18362,Piero A. Bonatti,David E. Bakken,N
18363,Vijay Kumar,David E. Bakken,N
18364,Vijay Kumar,David E. Bakken,N
18365,Vijay Kumar,David E. Bakken,N
18366,Du Zhang,David E. Bakken,N
18367,Du Zhang,David E. Bakken,N
18368,Du Zhang,David E. Bakken,N
18369,Fay Cobb Payton,David E. Bakken,N
18370,Fay Cobb Payton,David E. Bakken,N
18371,Fay Cobb Payton,David E. Bakken,N
18372,Mi Lu,David E. Bakken,N
18373,Mi Lu,David E. Bakken,N
18374,Mi Lu,David E. Bakken,N
18375,Satoru Fujishige,David E. Booth,N
18376,Satoru Fujishige,David E. Booth,N
18377,Satoru Fujishige,David E. Booth,N
18378,John N. Carter,David E. Booth,N
18379,John N. Carter,David E. Booth,N
18380,John N. Carter,David E. Booth,N
18381,Denys Chaume,David E. Booth,N
18382,Denys Chaume,David E. Booth,N
18383,Denys Chaume,David E. Booth,N
18384,Timothy Roscoe,David E. Culler,N
18385,Timothy Roscoe,David E. Culler,N
18386,Timothy Roscoe,David E. Culler,N
18387,Christoph Bussler,David E. Culler,N
18388,Christoph Bussler,David E. Culler,N
18389,Christoph Bussler,David E. Culler,N
18390,Mara Nikolaidou,David E. Culler,N
18391,Mara Nikolaidou,David E. Culler,N
18392,Mara Nikolaidou,David E. Culler,N
18393,Gert-Jan de Vreede,David E. Culler,N
18394,Gert-Jan de Vreede,David E. Culler,N
18395,Gert-Jan de Vreede,David E. Culler,N
18396,Przemyslaw Stpiczynski,David E. Culler,N
18397,Przemyslaw Stpiczynski,David E. Culler,N
18398,Przemyslaw Stpiczynski,David E. Culler,N
18399,Martin R. Stytz,David E. Goldberg,N
18400,Martin R. Stytz,David E. Goldberg,N
18401,Martin R. Stytz,David E. Goldberg,N
18402,Andreas Antoniou,David E. Goldberg,N
18403,Andreas Antoniou,David E. Goldberg,N
18404,Andreas Antoniou,David E. Goldberg,N
18405,Thomas Lengauer,David E. Goldberg,N
18406,Thomas Lengauer,David E. Goldberg,N
18407,Thomas Lengauer,David E. Goldberg,N
18408,Alcherio Martinoli,David E. Millard,N
18409,Alcherio Martinoli,David E. Millard,N
18410,Alcherio Martinoli,David E. Millard,N
18411,Abdelhamid Tayebi,David E. Millard,N
18412,Abdelhamid Tayebi,David E. Millard,N
18413,Abdelhamid Tayebi,David E. Millard,N
18414,Kevin F. McCardle,David Eppstein,N
18415,Kevin F. McCardle,David Eppstein,N
18416,Kevin F. McCardle,David Eppstein,N
18417,Yannis Siskos,David Eppstein,N
18418,Yannis Siskos,David Eppstein,N
18419,Yannis Siskos,David Eppstein,N
18420,Claudia Loebbecke,David F. Feeny,N
18421,Claudia Loebbecke,David F. Feeny,N
18422,Claudia Loebbecke,David F. Feeny,N
18423,Matthias Jarke,David F. Feeny,N
18424,Matthias Jarke,David F. Feeny,N
18425,Matthias Jarke,David F. Feeny,N
18426,S. S. Yu,David Fernández-Baca,N
18427,S. S. Yu,David Fernández-Baca,N
18428,S. S. Yu,David Fernández-Baca,N
18429,Sabine Van Huffel,David G. Kirkpatrick,N
18430,Sabine Van Huffel,David G. Kirkpatrick,N
18431,Sabine Van Huffel,David G. Kirkpatrick,N
18432,Arturo Carpi,David G. Kirkpatrick,N
18433,Arturo Carpi,David G. Kirkpatrick,N
18434,Arturo Carpi,David G. Kirkpatrick,N
18435,Ivan Hal Sudborough,David G. Kirkpatrick,N
18436,Ivan Hal Sudborough,David G. Kirkpatrick,N
18437,Ivan Hal Sudborough,David G. Kirkpatrick,N
18438,Li Yang,David G. Kirkpatrick,N
18439,Li Yang,David G. Kirkpatrick,N
18440,Li Yang,David G. Kirkpatrick,N
18441,Gary Marchionini,David G. Kirkpatrick,N
18442,Gary Marchionini,David G. Kirkpatrick,N
18443,Gary Marchionini,David G. Kirkpatrick,N
18444,Martin Tompa,David G. Long,N
18445,Martin Tompa,David G. Long,N
18446,Martin Tompa,David G. Long,N
18447,Béla Bollobás,David Gamarnik,N
18448,Béla Bollobás,David Gamarnik,N
18449,Béla Bollobás,David Gamarnik,N
18450,Gregory B. Sorkin,David Gamarnik,N
18451,Gregory B. Sorkin,David Gamarnik,N
18452,Gregory B. Sorkin,David Gamarnik,N
18453,Jay Sethuraman,David Gamarnik,N
18454,Jay Sethuraman,David Gamarnik,N
18455,Jay Sethuraman,David Gamarnik,N
18456,Oliver Riordan,David Gamarnik,N
18457,Oliver Riordan,David Gamarnik,N
18458,Oliver Riordan,David Gamarnik,N
18459,Josep Maria Font,David Gamarnik,N
18460,Josep Maria Font,David Gamarnik,N
18461,Josep Maria Font,David Gamarnik,N
18462,Gang George Yin,David Gamarnik,N
18463,Gang George Yin,David Gamarnik,N
18464,Gang George Yin,David Gamarnik,N
18465,Christina M. Mynhardt,David Gamarnik,N
18466,Christina M. Mynhardt,David Gamarnik,N
18467,Christina M. Mynhardt,David Gamarnik,N
18468,Anand Rangarajan 0001,David Gamarnik,N
18469,Anand Rangarajan 0001,David Gamarnik,N
18470,Anand Rangarajan 0001,David Gamarnik,N
18471,Alistair G. Sutcliffe,David Gareth Evans,N
18472,Alistair G. Sutcliffe,David Gareth Evans,N
18473,Alistair G. Sutcliffe,David Gareth Evans,N
18474,Bin Wang,David Gareth Evans,N
18475,Bin Wang,David Gareth Evans,N
18476,Bin Wang,David Gareth Evans,N
18477,Carl Kesselman,David Gefen,N
18478,Carl Kesselman,David Gefen,N
18479,Carl Kesselman,David Gefen,N
18480,Jesus R. Artalejo,David Gefen,N
18481,Jesus R. Artalejo,David Gefen,N
18482,Jesus R. Artalejo,David Gefen,N
18483,Geoffrey Edwards,David Gefen,N
18484,Geoffrey Edwards,David Gefen,N
18485,Geoffrey Edwards,David Gefen,N
18486,Masahiko Yachida,David Gefen,N
18487,Masahiko Yachida,David Gefen,N
18488,Masahiko Yachida,David Gefen,N
18489,Peter J. Smith,David Gesbert,N
18490,Peter J. Smith,David Gesbert,N
18491,Peter J. Smith,David Gesbert,N
18492,D. M. H. Walker,David Gesbert,N
18493,D. M. H. Walker,David Gesbert,N
18494,D. M. H. Walker,David Gesbert,N
18495,John R. Kender,David Gesbert,N
18496,John R. Kender,David Gesbert,N
18497,John R. Kender,David Gesbert,N
18498,Fred J. Taylor,David Gesbert,N
18499,Fred J. Taylor,David Gesbert,N
18500,Fred J. Taylor,David Gesbert,N
18501,Daniel Gruhl,David Gibson,N
18502,Daniel Gruhl,David Gibson,N
18503,Daniel Gruhl,David Gibson,N
18504,Ramanathan V. Guha,David Gibson,N
18505,Ramanathan V. Guha,David Gibson,N
18506,Ramanathan V. Guha,David Gibson,N
18507,Lei Zhang,David Gibson,N
18508,Lei Zhang,David Gibson,N
18509,Lei Zhang,David Gibson,N
18510,Michael Mendler,David Gibson,N
18511,Michael Mendler,David Gibson,N
18512,Michael Mendler,David Gibson,N
18513,Won Kim 0001,David Gibson,N
18514,Won Kim 0001,David Gibson,N
18515,Won Kim 0001,David Gibson,N
18516,Vicki L. Almstrum,David Ginat,N
18517,Vicki L. Almstrum,David Ginat,N
18518,Vicki L. Almstrum,David Ginat,N
18519,Vera Goebel,David Graham Wastell,N
18520,Vera Goebel,David Graham Wastell,N
18521,Vera Goebel,David Graham Wastell,N
18522,Evangelos E. Milios,David Graham Wastell,N
18523,Evangelos E. Milios,David Graham Wastell,N
18524,Evangelos E. Milios,David Graham Wastell,N
18525,Erol Gelenbe,David Graham Wastell,N
18526,Erol Gelenbe,David Graham Wastell,N
18527,Erol Gelenbe,David Graham Wastell,N
18528,Samuel T. Chanson,David Graham Wastell,N
18529,Samuel T. Chanson,David Graham Wastell,N
18530,Samuel T. Chanson,David Graham Wastell,N
18531,Pawel Gburzynski,David Graham Wastell,N
18532,Pawel Gburzynski,David Graham Wastell,N
18533,Pawel Gburzynski,David Graham Wastell,N
18534,Diana Marculescu,David H. Albonesi,N
18535,Diana Marculescu,David H. Albonesi,N
18536,Diana Marculescu,David H. Albonesi,N
18537,Wolfgang Heidrich,David H. Laidlaw,N
18538,Wolfgang Heidrich,David H. Laidlaw,N
18539,Wolfgang Heidrich,David H. Laidlaw,N
18540,Ramanathan V. Guha,David H. Laidlaw,N
18541,Ramanathan V. Guha,David H. Laidlaw,N
18542,Ramanathan V. Guha,David H. Laidlaw,N
18543,Éva Tardos,David H. Staelin,N
18544,Éva Tardos,David H. Staelin,N
18545,Éva Tardos,David H. Staelin,N
18546,Herbert Van de Sompel,David H. Wolpert,N
18547,Herbert Van de Sompel,David H. Wolpert,N
18548,Herbert Van de Sompel,David H. Wolpert,N
18549,Rance Cleaveland,David Hansel,N
18550,Rance Cleaveland,David Hansel,N
18551,Rance Cleaveland,David Hansel,N
18552,Scott A. Smolka,David Hansel,N
18553,Scott A. Smolka,David Hansel,N
18554,Scott A. Smolka,David Hansel,N
18555,Reinhard Klein,David Hansel,N
18556,Reinhard Klein,David Hansel,N
18557,Reinhard Klein,David Hansel,N
18558,Viljem Zumer,David Hansel,N
18559,Viljem Zumer,David Hansel,N
18560,Viljem Zumer,David Hansel,N
18561,Fulvio Babich,David Hansel,N
18562,Fulvio Babich,David Hansel,N
18563,Fulvio Babich,David Hansel,N
18564,Bernhard Rumpe,David Harel,N
18565,Bernhard Rumpe,David Harel,N
18566,Bernhard Rumpe,David Harel,N
18567,Stephen G. Simpson,David Harel,N
18568,Stephen G. Simpson,David Harel,N
18569,Stephen G. Simpson,David Harel,N
18570,Chung-Hsien Wu,David Harel,N
18571,Chung-Hsien Wu,David Harel,N
18572,Chung-Hsien Wu,David Harel,N
18573,Fadil Santosa,David Harel,N
18574,Fadil Santosa,David Harel,N
18575,Fadil Santosa,David Harel,N
18576,Juan Antonio Ortega,David Harel,N
18577,Juan Antonio Ortega,David Harel,N
18578,Juan Antonio Ortega,David Harel,N
18579,Torbjörn Larsson,David Hartvigsen,N
18580,Torbjörn Larsson,David Hartvigsen,N
18581,Torbjörn Larsson,David Hartvigsen,N
18582,Zixue Cheng,David Hartvigsen,N
18583,Zixue Cheng,David Hartvigsen,N
18584,Zixue Cheng,David Hartvigsen,N
18585,Zoltán Ésik,David Hartvigsen,N
18586,Zoltán Ésik,David Hartvigsen,N
18587,Zoltán Ésik,David Hartvigsen,N
18588,M. Frans Kaashoek,David Hartvigsen,N
18589,M. Frans Kaashoek,David Hartvigsen,N
18590,M. Frans Kaashoek,David Hartvigsen,N
18591,R. Sritharan,David Haussler,N
18592,R. Sritharan,David Haussler,N
18593,R. Sritharan,David Haussler,N
18594,Jui-Cheng Yen,David Haussler,N
18595,Jui-Cheng Yen,David Haussler,N
18596,Jui-Cheng Yen,David Haussler,N
18597,Einar J. Aas,David Hawking,N
18598,Einar J. Aas,David Hawking,N
18599,Einar J. Aas,David Hawking,N
18600,Stefano Fusi,David Hawking,N
18601,Stefano Fusi,David Hawking,N
18602,Stefano Fusi,David Hawking,N
18603,Marie-Paule Cani,David Hawking,N
18604,Marie-Paule Cani,David Hawking,N
18605,Marie-Paule Cani,David Hawking,N
18606,David A. Drake,David Hawking,N
18607,David A. Drake,David Hawking,N
18608,David A. Drake,David Hawking,N
18609,Vito Di Gesù,David Hawkridge,N
18610,Vito Di Gesù,David Hawkridge,N
18611,Vito Di Gesù,David Hawkridge,N
18612,Sandip Kundu,David Hawkridge,N
18613,Sandip Kundu,David Hawkridge,N
18614,Sandip Kundu,David Hawkridge,N
18615,Kun-Jen Chung,David Hawkridge,N
18616,Kun-Jen Chung,David Hawkridge,N
18617,Kun-Jen Chung,David Hawkridge,N
18618,Yacine Atif,David Heckerman,N
18619,Yacine Atif,David Heckerman,N
18620,Yacine Atif,David Heckerman,N
18621,John Case,David Heckerman,N
18622,John Case,David Heckerman,N
18623,John Case,David Heckerman,N
18624,T. Warren Liao,David Heckerman,N
18625,T. Warren Liao,David Heckerman,N
18626,T. Warren Liao,David Heckerman,N
18627,Eshel Ben-Jacob,David Horn,N
18628,Eshel Ben-Jacob,David Horn,N
18629,Eshel Ben-Jacob,David Horn,N
18630,Chandrika Kamath,David Horn,N
18631,Chandrika Kamath,David Horn,N
18632,Chandrika Kamath,David Horn,N
18633,Mark d'Inverno,David Horn,N
18634,Mark d'Inverno,David Horn,N
18635,Mark d'Inverno,David Horn,N
18636,Jürgen Bajorath,David Hung-Chang Du,N
18637,Jürgen Bajorath,David Hung-Chang Du,N
18638,Jürgen Bajorath,David Hung-Chang Du,N
18639,Christine Bernardi,David Hutchison,N
18640,Christine Bernardi,David Hutchison,N
18641,Christine Bernardi,David Hutchison,N
18642,Jian Liu,David Hutchison,N
18643,Jian Liu,David Hutchison,N
18644,Jian Liu,David Hutchison,N
18645,Bill C. Hardgrave,David J. Allstot,N
18646,Bill C. Hardgrave,David J. Allstot,N
18647,Bill C. Hardgrave,David J. Allstot,N
18648,Hélène Fargier,David J. Allstot,N
18649,Hélène Fargier,David J. Allstot,N
18650,Hélène Fargier,David J. Allstot,N
18651,Avram Sidi,David J. Evans 0001,N
18652,Avram Sidi,David J. Evans 0001,N
18653,Avram Sidi,David J. Evans 0001,N
18654,Ioannis Stamelos,David J. Evans 0001,N
18655,Ioannis Stamelos,David J. Evans 0001,N
18656,Ioannis Stamelos,David J. Evans 0001,N
18657,Mario Bravetti,David J. Evans 0001,N
18658,Mario Bravetti,David J. Evans 0001,N
18659,Mario Bravetti,David J. Evans 0001,N
18660,Peter Geibel,David J. Evans 0001,N
18661,Peter Geibel,David J. Evans 0001,N
18662,Peter Geibel,David J. Evans 0001,N
18663,Daniel A. Keim,David J. Hand,N
18664,Daniel A. Keim,David J. Hand,N
18665,Daniel A. Keim,David J. Hand,N
18666,Jan P. Allebach,David J. Hand,N
18667,Jan P. Allebach,David J. Hand,N
18668,Jan P. Allebach,David J. Hand,N
18669,Amit Singhal,David J. Harper,N
18670,Amit Singhal,David J. Harper,N
18671,Amit Singhal,David J. Harper,N
18672,Djoerd Hiemstra,David J. Harper,N
18673,Djoerd Hiemstra,David J. Harper,N
18674,Djoerd Hiemstra,David J. Harper,N
18675,Eduard H. Hovy,David J. Harper,N
18676,Eduard H. Hovy,David J. Harper,N
18677,Eduard H. Hovy,David J. Harper,N
18678,Mark Sanderson,David J. Harper,N
18679,Mark Sanderson,David J. Harper,N
18680,Mark Sanderson,David J. Harper,N
18681,Philip Resnik,David J. Harper,N
18682,Philip Resnik,David J. Harper,N
18683,Philip Resnik,David J. Harper,N
18684,Ralph M. Weischedel,David J. Harper,N
18685,Ralph M. Weischedel,David J. Harper,N
18686,Ralph M. Weischedel,David J. Harper,N
18687,Wessel Kraaij,David J. Harper,N
18688,Wessel Kraaij,David J. Harper,N
18689,Wessel Kraaij,David J. Harper,N
18690,Francis J. M. Schmitt,David J. Harper,N
18691,Francis J. M. Schmitt,David J. Harper,N
18692,Francis J. M. Schmitt,David J. Harper,N
18693,Desmond C. McLernon,David J. Harper,N
18694,Desmond C. McLernon,David J. Harper,N
18695,Desmond C. McLernon,David J. Harper,N
18696,Song Chun Zhu,David J. Harper,N
18697,Song Chun Zhu,David J. Harper,N
18698,Song Chun Zhu,David J. Harper,N
18699,Jorge A. Torres-Muñoz,David J. Hawkes,N
18700,Jorge A. Torres-Muñoz,David J. Hawkes,N
18701,Jorge A. Torres-Muñoz,David J. Hawkes,N
18702,Akira Ito,David J. Hawkes,N
18703,Akira Ito,David J. Hawkes,N
18704,Akira Ito,David J. Hawkes,N
18705,Domenico Talia,David J. Hawkes,N
18706,Domenico Talia,David J. Hawkes,N
18707,Domenico Talia,David J. Hawkes,N
18708,Charalampos Tsitouras,David J. Jeffrey,N
18709,Charalampos Tsitouras,David J. Jeffrey,N
18710,Charalampos Tsitouras,David J. Jeffrey,N
18711,Jim Hayes,David J. Kriegman,N
18712,Jim Hayes,David J. Kriegman,N
18713,Jim Hayes,David J. Kriegman,N
18714,Alan C. Schultz,David J. Kriegman,N
18715,Alan C. Schultz,David J. Kriegman,N
18716,Alan C. Schultz,David J. Kriegman,N
18717,Layne T. Watson,David J. Lilja,N
18718,Layne T. Watson,David J. Lilja,N
18719,Layne T. Watson,David J. Lilja,N
18720,John C. Wierman,David J. Marchette,N
18721,John C. Wierman,David J. Marchette,N
18722,John C. Wierman,David J. Marchette,N
18723,Matti A. Hiltunen,David J. Marchette,N
18724,Matti A. Hiltunen,David J. Marchette,N
18725,Matti A. Hiltunen,David J. Marchette,N
18726,George Bebis,David J. Marchette,N
18727,George Bebis,David J. Marchette,N
18728,George Bebis,David J. Marchette,N
18729,Bang Ye Wu,David J. Marchette,N
18730,Bang Ye Wu,David J. Marchette,N
18731,Bang Ye Wu,David J. Marchette,N
18732,Anthony D. Joseph,David J. Miller 0001,N
18733,Anthony D. Joseph,David J. Miller 0001,N
18734,Anthony D. Joseph,David J. Miller 0001,N
18735,Catherine Rosenberg,David J. Miller 0001,N
18736,Catherine Rosenberg,David J. Miller 0001,N
18737,Catherine Rosenberg,David J. Miller 0001,N
18738,Marc M. Van Hulle,David J. Miller 0001,N
18739,Marc M. Van Hulle,David J. Miller 0001,N
18740,Marc M. Van Hulle,David J. Miller 0001,N
18741,Matt Bishop,David J. Miller 0001,N
18742,Matt Bishop,David J. Miller 0001,N
18743,Matt Bishop,David J. Miller 0001,N
18744,Robert Braden,David J. Miller 0001,N
18745,Robert Braden,David J. Miller 0001,N
18746,Robert Braden,David J. Miller 0001,N
18747,Ruzena Bajcsy,David J. Miller 0001,N
18748,Ruzena Bajcsy,David J. Miller 0001,N
18749,Ruzena Bajcsy,David J. Miller 0001,N
18750,Sally Floyd,David J. Miller 0001,N
18751,Sally Floyd,David J. Miller 0001,N
18752,Sally Floyd,David J. Miller 0001,N
18753,Shankar Sastry,David J. Miller 0001,N
18754,Shankar Sastry,David J. Miller 0001,N
18755,Shankar Sastry,David J. Miller 0001,N
18756,Shyhtsun Felix Wu,David J. Miller 0001,N
18757,Shyhtsun Felix Wu,David J. Miller 0001,N
18758,Shyhtsun Felix Wu,David J. Miller 0001,N
18759,Jian Yang 0001,David J. Pym,N
18760,Jian Yang 0001,David J. Pym,N
18761,Jian Yang 0001,David J. Pym,N
18762,Nohpill Park,David J. Pym,N
18763,Nohpill Park,David J. Pym,N
18764,Nohpill Park,David J. Pym,N
18765,Michael E. Papka,David Jones,N
18766,Michael E. Papka,David Jones,N
18767,Michael E. Papka,David Jones,N
18768,Rick L. Stevens,David Jones,N
18769,Rick L. Stevens,David Jones,N
18770,Rick L. Stevens,David Jones,N
18771,Oliver W. W. Yang,David Jones,N
18772,Oliver W. W. Yang,David Jones,N
18773,Oliver W. W. Yang,David Jones,N
18774,Randal W. Beard,David Jones,N
18775,Randal W. Beard,David Jones,N
18776,Randal W. Beard,David Jones,N
18777,José Félix Costa,David K. Y. Yau,N
18778,José Félix Costa,David K. Y. Yau,N
18779,José Félix Costa,David K. Y. Yau,N
18780,Scott D. Stoller,David K. Y. Yau,N
18781,Scott D. Stoller,David K. Y. Yau,N
18782,Scott D. Stoller,David K. Y. Yau,N
18783,Amir Shpilka,David K. Y. Yau,N
18784,Amir Shpilka,David K. Y. Yau,N
18785,Amir Shpilka,David K. Y. Yau,N
18786,Jana Dittmann,David K. Y. Yau,N
18787,Jana Dittmann,David K. Y. Yau,N
18788,Jana Dittmann,David K. Y. Yau,N
18789,John R. Koza,David Kortenkamp,N
18790,John R. Koza,David Kortenkamp,N
18791,John R. Koza,David Kortenkamp,N
18792,Hui Liu,David Kortenkamp,N
18793,Hui Liu,David Kortenkamp,N
18794,Hui Liu,David Kortenkamp,N
18795,Carlo Drioli,David Kotz,N
18796,Carlo Drioli,David Kotz,N
18797,Carlo Drioli,David Kotz,N
18798,Heidi Steendam,David Kotz,N
18799,Heidi Steendam,David Kotz,N
18800,Heidi Steendam,David Kotz,N
18801,Aviel D. Rubin,David L. Dill,N
18802,Aviel D. Rubin,David L. Dill,N
18803,Aviel D. Rubin,David L. Dill,N
18804,Barbara Simons,David L. Dill,N
18805,Barbara Simons,David L. Dill,N
18806,Barbara Simons,David L. Dill,N
18807,Jaemin Kim,David L. Dill,N
18808,Jaemin Kim,David L. Dill,N
18809,Jaemin Kim,David L. Dill,N
18810,Daeyeon Park,David L. Dill,N
18811,Daeyeon Park,David L. Dill,N
18812,Daeyeon Park,David L. Dill,N
18813,Jonathan Freeman,David L. Dill,N
18814,Jonathan Freeman,David L. Dill,N
18815,Jonathan Freeman,David L. Dill,N
18816,Congxin Wu,David L. Donoho,N
18817,Congxin Wu,David L. Donoho,N
18818,Congxin Wu,David L. Donoho,N
18819,Georges G. E. Gielen,David L. Donoho,N
18820,Georges G. E. Gielen,David L. Donoho,N
18821,Georges G. E. Gielen,David L. Donoho,N
18822,Wolf Zimmermann,David L. Donoho,N
18823,Wolf Zimmermann,David L. Donoho,N
18824,Wolf Zimmermann,David L. Donoho,N
18825,Guido M. Schuster,David L. Donoho,N
18826,Guido M. Schuster,David L. Donoho,N
18827,Guido M. Schuster,David L. Donoho,N
18828,Lorenzo Pareschi,David L. Hicks,N
18829,Lorenzo Pareschi,David L. Hicks,N
18830,Lorenzo Pareschi,David L. Hicks,N
18831,Jaime Muñoz Masqué,David L. Hicks,N
18832,Jaime Muñoz Masqué,David L. Hicks,N
18833,Jaime Muñoz Masqué,David L. Hicks,N
18834,Zheng Rong Yang,David L. Hicks,N
18835,Zheng Rong Yang,David L. Hicks,N
18836,Zheng Rong Yang,David L. Hicks,N
18837,Owe Axelsson,David L. Hicks,N
18838,Owe Axelsson,David L. Hicks,N
18839,Owe Axelsson,David L. Hicks,N
18840,Jing-Shing Yao,David L. Hicks,N
18841,Jing-Shing Yao,David L. Hicks,N
18842,Jing-Shing Yao,David L. Hicks,N
18843,Hong Liu,David L. Pepyne,N
18844,Hong Liu,David L. Pepyne,N
18845,Hong Liu,David L. Pepyne,N
18846,Lisa Zhang,David L. Pepyne,N
18847,Lisa Zhang,David L. Pepyne,N
18848,Lisa Zhang,David L. Pepyne,N
18849,Anath Fischer,David L. Wheeler,N
18850,Anath Fischer,David L. Wheeler,N
18851,Anath Fischer,David L. Wheeler,N
18852,Shinji Shimojo,David Lee,N
18853,Shinji Shimojo,David Lee,N
18854,Shinji Shimojo,David Lee,N
18855,Terry Windeatt,David Lee,N
18856,Terry Windeatt,David Lee,N
18857,Terry Windeatt,David Lee,N
18858,Birgitta König-Ries,David Lorge Parnas,N
18859,Birgitta König-Ries,David Lorge Parnas,N
18860,Birgitta König-Ries,David Lorge Parnas,N
18861,Miguel Angel Fernández,David Lorge Parnas,N
18862,Miguel Angel Fernández,David Lorge Parnas,N
18863,Miguel Angel Fernández,David Lorge Parnas,N
18864,Ralf Zimmer,David Lorge Parnas,N
18865,Ralf Zimmer,David Lorge Parnas,N
18866,Ralf Zimmer,David Lorge Parnas,N
18867,Chengbin Chu,David Lowe,N
18868,Chengbin Chu,David Lowe,N
