source,target,prediction
Michael Gribskov,Daniel R. Masys,N
Thomas M. Conte,Daniel R. Masys,N
Hans-Dieter Lüke,Daniel R. Masys,P
J. S. Lee,Daniel R. Masys,N
Setsuo Arikawa,Daniel R. Masys,P
Byoung-Tak Zhang,Daniel R. Masys,N
Immanuel M. Bomze,Daniel Ralph,P
Jonathan E. Rubin,Daniel Ralph,P
Manel Poch,Daniel Ralph,P
Andrzej Barwicz,Daniel Ralph,N
Alexander Felfernig,Daniel Ralph,P
Gordon B. Davis,Daniel Robey,P
Steve Sawyer,Daniel Robey,N
Upkar Varshney,Daniel Robey,P
Rajiv D. Banker,Daniel Robey,P
Delfin Y. Montuno,Daniel Robey,P
Russel E. Caflisch,Daniel Robey,P
Julia A. Schnabel,Daniel Rueckert,P
Ángel Rodríguez-Vázquez,Daniel Rueckert,N
Pål Halvorsen,Daniel Rueckert,N
Ulrich Heute,Daniel Rueckert,N
Parosh Aziz Abdulla,Daniel Rueckert,P
Qin Lu,Daniel S. Yeung,N
Robert W. P. Luk,Daniel S. Yeung,N
Eduardo Ros,Daniel S. Yeung,N
Koichi Hori,Daniel Simon,P
Majid Sarrafzadeh,Daniel Solow,N
Yong Li,Daniel Solow,P
Donald H. Kraft,Daniel Sánchez 0001,P
Fernando Berzal Galiano,Daniel Sánchez 0001,N
Juan C. Cubero,Daniel Sánchez 0001,P
María Amparo Vila Miranda,Daniel Sánchez 0001,N
Maria J. Martín-Bautista,Daniel Sánchez 0001,P
Miguel Delgado,Daniel Sánchez 0001,P
Nicolás Marín,Daniel Sánchez 0001,P
Panos K. Chrysanthis,Daniel Sánchez 0001,P
Frantisek Franek,Daniel Sánchez 0001,P
Baining Guo,Daniel Thalmann,N
Francesco Beltrame,Daniel Thalmann,N
Frederick W. B. Li,Daniel Thalmann,N
Pascal Fua,Daniel Thalmann,P
Rynson W. H. Lau,Daniel Thalmann,P
Cong Ling 0001,Daniel W. Apley,N
Ruey-Feng Chang,Daniel W. Apley,N
Mary R. Thompson,Daniel W. Apley,N
Arnd Huchzermeier,Daniel W. C. Ho,N
Fiorella de Rosis,Daniel W. C. Ho,N
Toshiyuki Tanaka,Daniel W. Repperger,N
Sanja Petrovic,Daniel W. Repperger,N
Helwig Hauser,Daniel Weiskopf,P
Thomas Ertl,Daniel Weiskopf,P
Simone G. O. Fiori,Daniel Weiskopf,N
Andrzej Proskurowski,Daniel Zappala,N
Arthur M. Farley,Daniel Zappala,P
Xiaohua Jia,Daniel Zappala,P
Jeremy P. Spinrad,Daniel Zappala,N
Jake K. Aggarwal,Daniel Zappala,N
J. Ross Beveridge,Daniela Calvetti,N
Rolf S. Rees,Daniela Calvetti,N
Masato Okada,Daniela Calvetti,P
Frank Harary,Daniela Ferrero,P
Ignacio M. Pelayo,Daniela Ferrero,N
Kerstin Dautenhahn,Daniela Ferrero,P
Renato D. C. Monteiro,Daniela Ferrero,N
Hans-Dieter Höltje,Daniela Ferrero,P
Günter Müller,Daniela Gerd tom Markotten,N
Maguelonne Teisseire,Daniela Gerd tom Markotten,N
Deryk Osthus,Daniela Kühn,P
Josef Kittler,Daniela Kühn,N
Mark Goresky,Daniela Petrelli,P
Javed A. Aslam,Daniela Rus,P
Vijay Kumar 0001,Daniela Rus,N
Giovanni Giambene,Daniela Rus,N
Xiuli Chao,Daniela Rus,N
Snehasis Mukhopadhyay,Daniela Rus,P
Gabriele Di Stefano,Daniele Frigioni,P
Anand Raghunathan,Daniele Frigioni,P
Wenhong Luo,Daniele Frigioni,P
Ivan Stojmenovic,Daniele Frigioni,N
Gregory Piatetsky-Shapiro,Daniele Frigioni,P
Stephanie M. Doane,Daniele Marini,N
Kostas Tsakalis,Daniele Marini,P
Larry Press,Daniele Marini,N
Ron Meir,Daniele Marioli,P
Maciej Drozdowski,Daniele Marioli,P
Hal A. Kierstead,Daniele Marioli,P
Refik Güllü,Daniele Marioli,P
Peter Triantafillou,Daniele Marioli,N
James Y. L. Thong,Daniele Marioli,P
Uriel Feige,Daniele Micciancio,N
René van Oostrum,Daniele Micciancio,N
Pierre Moulin,Daniele Micciancio,P
Yueting Zhuang,Daniele Micciancio,N
Noboru Sugie,Daniele Micciancio,N
David W. Bates,Daniele Nardi,N
Hesham El Gamal,Daniele Nardi,N
Carsten Thomassen,Daniele Riccio,N
Jürgen Dix,Daniele Riccio,P
Thomas L. Marzetta,Daniele Vigo,N
Howard J. Karloff,Daniele Vigo,P
Fabio Dell'Acqua,Daniele Vigo,P
Walid Ben-Ameur,Daniele Vigo,N
Trevor W. Dawson,Daniele Vigo,P
Charles J. Alpert,Danijel Rebolj,P
Liqun Qi 0001,Danijel Rebolj,N
Roberto Roncella,Danijel Rebolj,P
Megha Singh,Danijel Rebolj,P
Si Wu,Danijel Rebolj,N
Andrea Walther,Danijel Rebolj,P
Nikita Barabanov,Danil V. Prokhorov,P
Jürgen Münch,Danil V. Prokhorov,P
Gavin C. Cawley,Danilo P. Mandic,P
Marc M. Van Hulle,Danilo P. Mandic,N
Temujin Gautama,Danilo P. Mandic,N
Christian Landrault,Danilo P. Mandic,N
Yuri V. Matiyasevich,Danièle Beauquier,N
Gautam Appa,Danièle Beauquier,P
Andrei A. Muchnik,Danièle Beauquier,P
Bernhard Gittenberger,Danièle Gardy,P
Sylvie Corteel,Danièle Gardy,N
Giridharan Iyengar,Danièle Gardy,P
Anders Møller,Danièle Gardy,N
Ligong Wang,Danièle Gardy,P
Abdelhamid Tayebi,Danièle Gardy,P
Nitin H. Vaidya,Danièle Gardy,P
Godfried T. Toussaint,Danièle Gardy,P
Chua-Chin Wang,Dankmar Böhning,P
Yen-Wei Chen,Dankmar Böhning,P
Chris Melhuish,Dankmar Böhning,P
John J. Cannon,Danny H. K. Tsang,P
William H. Tranter,Danny H. K. Tsang,N
Toshiyuki Tanaka,Danny H. K. Tsang,P
Amparo Fúster-Sabater,Danny H. K. Tsang,P
Li Layuan,Danny H. K. Tsang,N
Jurek Czyzowicz,Danny Krizanc,P
Prosenjit Bose,Danny Krizanc,N
Maurice Nivat,Danny Krizanc,P
Majid Ahmadi,Danny Krizanc,P
Jitender S. Deogun,Danny Krizanc,P
Michele Zito,Danny Krizanc,P
John W. Byers,Danny Raz,N
Yair Bartal,Danny Raz,P
Paulo Roberto Freire Cunha,Danny Raz,N
Jean-Didier Legat,Danny Raz,N
Tao Li,Danny Raz,P
Hirobumi Mizuno,Danny Raz,N
William Foster,Danny Raz,N
Ovidiu Daescu,Danny Z. Chen,P
Xiaobo Hu,Danny Z. Chen,N
Ta-Sung Lee,Danny Z. Chen,N
In-Beum Lee,Danny Z. Chen,P
Ralf Zimmer,Danny Z. Chen,P
Hamid Jafarkhani,Danny Z. Chen,N
Robert O. Briggs,Dany Leviatan,P
Francky Catthoor,Dany Leviatan,P
Anees Shaikh,Dany Leviatan,P
Hideo Fujiwara,Daoud Ait-Kadi,P
Eyke Hüllermeier,Daphne Der-Fen Liu,N
Jadran Lenarcic,Daphne Der-Fen Liu,N
Ping Zhao,Daphne Der-Fen Liu,N
Arogyaswami Paulraj,Daphne Der-Fen Liu,P
Robert Gentleman,Daphne Koller,P
Long Quan,Daphne Koller,N
Boris A. Trakhtenbrot,Daphne Koller,P
Sun-Yuan Kung,Darinka Dentcheva,N
Roberto Merletti,Dario Farina,P
Nicola Leone,Dario Farina,N
Rik Farrow,Dario Farina,P
Kwyro Lee,Dario Farina,N
Francesco Marcelloni,Dario Farina,N
Leo Egghe,Dario Farina,P
Ponnuthurai N. Suganthan,Dario Farina,N
Fernando Berzal Galiano,Dario Farina,P
Lifeng He,Dario Farina,N
Luca Maria Gambardella,Dario Floreano,N
Paul N. Gorman,Dario Floreano,P
Giorgio Grillo,Dario Pacciarelli,N
Stéfan Jacques Darmoni,Dario Pacciarelli,P
Mauro Dell'Amico,Dario Pacciarelli,N
Yi-Bing Lin,Dario Pacciarelli,P
Katsuhiko Takahashi,Dario Pacciarelli,P
Norbert Podhorszki,Dario Pacciarelli,N
Hsu-Hao Yang,Dario Petri,P
Il Hong Suh,Dario Petri,N
John A. Morrison,Dario Petri,P
H. F. Machiel Van der Loos,Dario Petri,P
David J. Jeffrey,Dario Petri,P
Ezio Biglieri,Dariush Divsalar,N
Juite Wang,Dariush Divsalar,N
Luciano Gamberini,Dariush Divsalar,N
Marco E. Lübbecke,Dariush Divsalar,N
Henrique S. Malvar,Darko Kirovski,P
Maurice Salles,Darko Kirovski,P
Haiko Müller,Darko Kirovski,N
Hirochika Inoue,Darko Kirovski,N
Wai Chee Shiu,Darla Kremer,P
Stefanie Gerke,Darla Kremer,N
Aggelos K. Katsaggelos,Darla Kremer,P
Claire O'Donovan,Darren A. Natale,N
Ying Xu 0001,Darren A. Natale,P
Paolo Fiorini,Darren A. Natale,N
Chengwu Yang,Darren A. Natale,N
Jan Paredaens,Darren A. Natale,P
David Raffo,Darren Dalcher,P
Thomas Hess,Darren Dalcher,N
V. S. Subrahmanian,Darren Gawley,P
George Lawton,Darren Gawley,N
Ran Ginosar,Darren Gawley,N
Jian Chen,Darren M. Dawson,P
Albert H. Huang,Darren M. Dawson,N
Wilhelm Rödder,Darren M. Dawson,N
Chiew-Lan Tai,Darren M. Dawson,P
Ronald Rousseau,Darren M. Dawson,N
Barbara M. Maenhaut,Darryn E. Bryant,P
Heather Gavlas,Darryn E. Bryant,N
Mike J. Grannell,Darryn E. Bryant,P
Terry S. Griggs,Darryn E. Bryant,N
Srinivas Aluru,Darryn E. Bryant,P
Wolfgang Hörmann,Darryn E. Bryant,N
Peter Y. K. Cheung,Darryn E. Bryant,N
Shinn-Ying Ho,Darwin G. Caldwell,P
Sally I. McClean,Darwin G. Caldwell,N
Peilin Song,Darwin G. Caldwell,N
Sridha Sridharan,Darwin G. Caldwell,N
Daniel Berg,Darwin G. Caldwell,N
Donald C. Wunsch II,Daryl G. Beetner,P
Xiaolin Wu 0001,Daryl G. Beetner,P
Khalil Najafi,Daryl R. Kipke,P
Fahiem Bacchus,Daryl R. Kipke,N
Robert Goldblatt,Daryl R. Kipke,N
Paolo Giorgini,Daryl R. Kipke,N
Eldon Y. Li,Daryle Gardner-Bonneau,P
Mohan S. Kankanhalli,Daryle Gardner-Bonneau,P
Changeon Kang,Daryle Gardner-Bonneau,N
Guoxiao Guo,Daryle Gardner-Bonneau,N
James A. Foster,Dave A. Thomas,N
Peter Bürgisser,Dave A. Thomas,N
Amitava Datta,Dave A. Thomas,N
Enrico Pagello,Dave A. Thomas,N
Sivan Toledo,David A. Bader,N
Matthew B. Dwyer,David A. Bader,P
Patrick Thiran,David A. Bader,P
Olivier Danvy,David A. Basin,P
Robert Harper 0001,David A. Basin,P
Stefan Friedrich,David A. Basin,N
Jim Hayes,David A. Basin,P
Fulvio Corno,David A. Basin,P
Bernd Girod,David A. Bell,P
Daniel A. Spielman,David A. Bell,P
Giovanni Nico,David A. Bell,P
David J. Allstot,David A. Bell,P
Laurie Issel-Tarver,David A. Case,P
Stefan Wermter,David A. Case,N
Jae Hong Lee,David A. Cavan,P
Shriram Krishnamurthi,David A. Cavan,N
Cheng Li,David A. Cavan,N
Jan Vanthienen,David A. Cavan,P
Stefan Kern,David A. Clausi,N
Reinhard Klein,David A. Clausi,N
Richard C. M. Yam,David A. Clausi,N
Xiaotie Deng,David A. Clausi,N
Yufei Yuan,David A. Clausi,P
Bin Luo 0001,David A. Cohen,N
Amos Bairoch,David A. Cohen,N
Edward G. Coffman Jr.,David A. Cohen,N
Deb Roy,David A. Cohen,P
Yue Zhao,David A. Cohen,N
Constantinos Dovrolis,David A. Cohen,N
Millist W. Vincent,David A. Cohen,N
Sigrid Knust,David A. Cohen,P
Hadi Kharaghani,David A. Conner,P
Ling Chen,David A. Conner,P
Harish Viswanathan,David A. Conner,N
Eitan Altman,David A. Conner,P
A. J. van de Goor,David A. Conner,P
Hsin-Min Wang,David A. Conner,N
Wendy J. Myrvold,David A. Drake,P
Antonia Bertolino,David A. Drake,N
Faina I. Solov'eva,David A. Drake,P
Donald W. King,David A. Drake,N
Pawan Lingras,David A. Drake,P
Pablo G. Tahoces,David A. Drake,P
Luc Giraud,David A. Fuller 0001,N
Venkat Murali,David A. Fuller 0001,P
Marilda Sotomayor,David A. Fuller 0001,N
Huanshui Zhang,David A. Fuller 0001,P
Philipp Slusallek,David A. Landgrebe,N
Katsuhiko Takahashi,David A. Landgrebe,N
Giovambattista Ianni,David A. Landgrebe,N
Edward J. Wegman,David A. Landgrebe,P
János A. Csirik,David A. McAllester,N
Michael L. Littman,David A. McAllester,P
Peter Stone,David A. McAllester,P
Nahum Shimkin,David A. McAllester,N
Karl Jug,David A. McAllester,P
Hal Berghel,David A. McAllester,P
Vincent T. Y. Ng,David A. Padua,N
Wanlei Zhou,David A. Padua,P
Bala Kalyanasundaram,David A. Padua,N
Jean-Pierre Fouque,David A. Patterson,N
Joseph Y. Halpern,David A. Patterson,N
Karl-Heinz Glatting,David A. Patterson,P
Armin Biere,David A. Plaisted,P
Claes Wohlin,David A. Plaisted,N
Susan M. Dray,David A. Siegel,P
Jozsef Bokor,David A. Siegel,N
Priya Vashishta,David A. Siegel,P
Chanathip Namprempre,David A. Siegel,P
Bir Bhanu,David A. Siegel,N
Mark Ginsburg,David A. Swayne,P
Marco Locatelli,David A. Swayne,P
Mark T. Maybury,David A. Wagner 0001,P
Ron van der Meyden,David A. Wagner 0001,N
Mateu Sbert,David A. Wood 0001,P
Vincenzo Loia,David A. Wood 0001,N
Akiyoshi Shioura,David A. Wood 0001,P
Alan J. Demers,David Abramson,P
David Taniar,David Abramson,P
Roberta Lamb,David Abramson,P
Salvador Climent 0001,David Abramson,P
Maurice Queyranne,David Alan Grier,P
Andrew B. Whinston,David Alan Grier,N
Andrea Omicini,David Alan Grier,P
Herbert Hamers,David Angeli,P
Yi Li,David Angeli,N
André Rohe,David Applegate,N
Jeffrey C. Lagarias,David Applegate,P
Vasek Chvátal,David Applegate,P
William J. Cook,David Applegate,N
Gabor C. Temes,David Applegate,P
David J. Ahlgren,David Applegate,N
Brian E. Carpenter,David Applegate,N
Jeffrey B. Remmel,David B. Leake,N
Isabel Rojas,David B. Leake,N
Vladimir Makarenkov,David B. Leake,N
James Harland,David B. Leake,P
Gerhard Weikum,David B. Lomet,N
Stuart W. Margolis,David B. Lomet,N
Wojciech Plandowski,David B. Lomet,N
Christian Huitema,David B. Lomet,N
Nicholas K. Spencer,David B. Lowe,N
Vytautas Stuikys,David B. Lowe,P
Manuel de la Sen,David B. Lowe,N
Mitsunori Ogihara,David B. Lowe,N
Min Xu,David B. Lowe,N
Michael Krauthammer,David B. Lowe,N
Carla P. Gomes,David B. Shmoys,N
Ramon Jansana,David B. Shmoys,P
Edmund T. Rolls,David B. Shmoys,P
Holger H. Hoos,David Bainbridge 0001,N
Kai-Yuan Cai,David Bainbridge 0001,P
Pau-Choo Chung,David Bainbridge 0001,N
Chin E. Lin,David Bainbridge 0001,N
Maguelonne Teisseire,David Bainbridge 0001,N
Steven Bird,David Bainbridge 0001,P
Nicola Giaquinto,David Bawden,N
Yen-Chun Lin,David Bawden,N
Hans-Dieter Burkhard,David Bawden,P
Vijay K. Vaishnavi,David Bodoff,N
Stefan Szeider,David Bodoff,P
Gail Binkley,David Botstein,N
Gavin Sherlock,David Botstein,N
Kara Dolinski,David Botstein,N
Laurie Issel-Tarver,David Botstein,P
Maria C. Costanzo,David Botstein,P
Yawvi A. Fiagbedzi,David Botstein,N
Jieping Ye,David Botstein,P
Eduard Ayguadé,David Brown,N
Marian Petre,David Budgen,P
Nick Craswell,David Budgen,P
Fabián A. Chudak,David Budgen,P
Shalabh Bhatnagar,David Budgen,P
J. Morris Chang,David Burshtein,P
Csaba D. Tóth,David Burshtein,N
Alberto Carini,David Burshtein,P
Dario Pacciarelli,David Burshtein,P
Masao Mukaidono,David C. Fisher,N
C. S. Sung,David C. Fisher,P
Richard J. Duro,David C. Fisher,N
Sudhakar M. Reddy,David C. Fisher,P
Dmitrii V. Zinoviev,David C. Wilson,N
Albert H. Huang,David C. Yen,P
Chien-Yuan Chen,David C. Yen,N
Hsin-Ginn Hwang,David C. Yen,P
Roger H. L. Chiang,David C. Yen,N
Hing-Cheung So,David C. Yen,P
Wei Wang 0010,David C. Yen,P
Pradip Bose,David C. Yen,P
Antoni Soto-Riera,David C. Yen,P
Jochen Alber,David C. Yen,P
Walter Murray Wonham,David Callan,N
M. M. Chawla,David Clark,N
Baw-Jhiune Liu,David Clark,P
Jitender S. Deogun,David Clark,P
Theodore Faber,David D. Clark,N
Jean-Luc Gaudiot,David D. Clark,N
Marta Z. Kwiatkowska,David D. Clark,N
Scott Jordan,David D. Clark,P
Xiao Wang,David D. Clark,P
Halim Yanikomeroglu,David D. Falconer,P
Hamid Aghvami,David D. Falconer,P
Sayandev Mukherjee,David D. Falconer,P
Bart Jacobs 0001,David D. Falconer,N
Shin Ishii,David D. Falconer,N
Alex K. Simpson,David D. Falconer,P
Richard I. Cook,David D. Woods,P
Clif Flynt,David D. Woods,N
Munindar P. Singh,David D. Woods,P
Yang Xu 0001,David D. Woods,N
Jing-Sheng Song,David D. Yao,N
Rakesh Kumar,David D. Yao,P
Xun Yu Zhou,David D. Yao,P
Roberto D. Galvão,David D. Yao,P
Marco Conti,David D. Yao,N
Nassir Navab,David D. Yao,P
Ah Chung Tsoi,David Dagan Feng,P
Tai-Chiu Hsung,David Dagan Feng,N
Yuk-Hee Chan,David Dagan Feng,N
Bernard Mourrain,David Dagan Feng,P
Jozsef Bokor,David Dagan Feng,P
Iain S. Duff,David Dagan Feng,N
Daniel A. Griffith,David Dagan Feng,P
Jing Huang,David Dagan Feng,P
Francis Heylighen,David De Roure,N
Clarisse Sieckenius de Souza,David De Roure,N
Ranulph Glanville,David De Roure,P
Alberto Macii,David De Roure,N
T. Aaron Gulliver,David De Roure,N
Alain Giorgetti,David Déharbe,N
Ulrich Meyer 0001,David E. Avison,N
Henk Norde,David E. Avison,P
Yun Zou,David E. Avison,N
George L. Vairaktarakis,David E. Avison,P
Frank E. Bennett,David E. Avison,N
Douglas M. Blough,David E. Bakken,P
Michel Cukier,David E. Bakken,P
Richard E. Schantz,David E. Bakken,N
Piero A. Bonatti,David E. Bakken,P
Vijay Kumar,David E. Bakken,P
Du Zhang,David E. Bakken,P
Fay Cobb Payton,David E. Bakken,P
Curt H. Davis,David E. Bakken,N
Mi Lu,David E. Bakken,N
Satoru Fujishige,David E. Booth,P
John N. Carter,David E. Booth,N
Denys Chaume,David E. Booth,P
Larry L. Peterson,David E. Culler,N
Timothy Roscoe,David E. Culler,P
Christoph Bussler,David E. Culler,N
Georgios Akrivis,David E. Culler,N
Mara Nikolaidou,David E. Culler,P
Gert-Jan de Vreede,David E. Culler,P
Przemyslaw Stpiczynski,David E. Culler,N
Fernando G. Lobo,David E. Goldberg,P
Martin Pelikan,David E. Goldberg,P
Ralph E. Gomory,David E. Goldberg,N
Martin R. Stytz,David E. Goldberg,P
Andreas Antoniou,David E. Goldberg,N
Thomas Lengauer,David E. Goldberg,N
Alcherio Martinoli,David E. Millard,P
Abdelhamid Tayebi,David E. Millard,P
Alper Üngör,David Eppstein,P
Andrea Mantler,David Eppstein,P
Christian A. Duncan,David Eppstein,P
John M. Sullivan,David Eppstein,N
Michael T. Goodrich,David Eppstein,N
Stephen G. Kobourov,David Eppstein,N
Kevin F. McCardle,David Eppstein,P
Yannis Siskos,David Eppstein,P
David Reynolds,David Eppstein,N
Isaac Levi,David Evans 0001,P
Blake Ives,David Evans 0001,N
Claudia Loebbecke,David F. Feeny,N
Matthias Jarke,David F. Feeny,P
Stephen Robinson,David F. Feeny,N
S. S. Yu,David Fernández-Baca,P
Samuel Fiorini,David Fernández-Baca,P
Sanjeev Khanna,David G. Cory,P
Algis Garliauskas,David G. Goodenough,P
Andrea Mantler,David G. Kirkpatrick,N
Tetsuo Asano,David G. Kirkpatrick,N
Sabine Van Huffel,David G. Kirkpatrick,P
Arturo Carpi,David G. Kirkpatrick,N
Ivan Hal Sudborough,David G. Kirkpatrick,P
Li Yang,David G. Kirkpatrick,P
Gary Marchionini,David G. Kirkpatrick,P
Martin Tompa,David G. Long,P
Béla Bollobás,David Gamarnik,P
Gregory B. Sorkin,David Gamarnik,N
Jay Sethuraman,David Gamarnik,N
Oliver Riordan,David Gamarnik,N
Josep Maria Font,David Gamarnik,N
Gang George Yin,David Gamarnik,N
Christina M. Mynhardt,David Gamarnik,N
Anand Rangarajan 0001,David Gamarnik,N
Alistair G. Sutcliffe,David Gareth Evans,P
Bin Wang,David Gareth Evans,N
Carl Kesselman,David Gefen,P
Jesus R. Artalejo,David Gefen,N
Geoffrey Edwards,David Gefen,P
Masahiko Yachida,David Gefen,N
Peter J. Smith,David Gesbert,N
D. M. H. Walker,David Gesbert,P
John R. Kender,David Gesbert,P
Fred J. Taylor,David Gesbert,P
Daniel Gruhl,David Gibson,P
Ramanathan V. Guha,David Gibson,P
Tapas Kanungo,David Gibson,N
Lei Zhang,David Gibson,P
Michael Mendler,David Gibson,N
Won Kim 0001,David Gibson,N
Vicki L. Almstrum,David Ginat,P
Vlady Ravelomanana,David Ginat,P
Barbara M. Maenhaut,David Ginat,N
Marina Mondin,David Grace,N
Tim C. Tozer,David Grace,N
Reuven Bar-Yehuda,David Grace,N
Kazuo Iwama,David Grace,P
Jürgen S. Sauer,David Graham Wastell,N
Vera Goebel,David Graham Wastell,N
Evangelos E. Milios,David Graham Wastell,P
Erol Gelenbe,David Graham Wastell,P
Samuel T. Chanson,David Graham Wastell,N
Pawel Gburzynski,David Graham Wastell,P
Diana Marculescu,David H. Albonesi,P
Michael L. Scott,David H. Albonesi,P
Pradip Bose,David H. Albonesi,N
Andreas G. Andreou,David H. Goldberg,N
Gert Cauwenberghs,David H. Goldberg,N
Ioannis A. Kakadiaris,David H. Goldberg,P
Craig Gotsman,David H. Goldberg,N
George E. Karniadakis,David H. Laidlaw,N
Victoria Interrante,David H. Laidlaw,N
Wolfgang Heidrich,David H. Laidlaw,P
Ramanathan V. Guha,David H. Laidlaw,P
Mark Christiaens,David H. Owens 0001,P
Claudio De Persis,David H. Staelin,N
Éva Tardos,David H. Staelin,P
Herbert Van de Sompel,David H. Wolpert,N
Oscar Castillo 0001,David Hales,P
Maher Ali,David Hales,P
Rance Cleaveland,David Hansel,P
Scott A. Smolka,David Hansel,P
Reinhard Klein,David Hansel,N
Viljem Zumer,David Hansel,P
Fulvio Babich,David Hansel,P
Bernhard Rumpe,David Harel,P
Doron Lancet,David Harel,N
Orna Kupferman,David Harel,P
Stephen G. Simpson,David Harel,N
Chung-Hsien Wu,David Harel,N
Fadil Santosa,David Harel,N
Juan Antonio Ortega,David Harel,N
Juan J. Nieto,David Harel,N
Shirley Ann Becker,David Hartvigsen,N
Torbjörn Larsson,David Hartvigsen,P
Zixue Cheng,David Hartvigsen,N
Zoltán Ésik,David Hartvigsen,P
M. Frans Kaashoek,David Hartvigsen,P
Ramana V. Davuluri,David Haussler,N
R. Sritharan,David Haussler,N
Jui-Cheng Yen,David Haussler,P
Nick Craswell,David Hawking,N
Einar J. Aas,David Hawking,P
Stefano Fusi,David Hawking,P
M. V. C. Rao,David Hawking,P
Marie-Paule Cani,David Hawking,N
David A. Drake,David Hawking,N
Mohamed Oussama Damen,David Hawkridge,N
Vito Di Gesù,David Hawkridge,P
Sandip Kundu,David Hawkridge,N
Kun-Jen Chung,David Hawkridge,N
Yacine Atif,David Heckerman,P
John Case,David Heckerman,N
T. Warren Liao,David Heckerman,N
Eshel Ben-Jacob,David Horn,N
Gideon Dror,David Horn,N
Moshe Abeles,David Horn,P
Chandrika Kamath,David Horn,N
Mark d'Inverno,David Horn,P
Marta M. B. Pascoal,David Horn,P
Jürgen Bajorath,David Hung-Chang Du,P
Olivier Bonaventure,David Hutchison,P
Christine Bernardi,David Hutchison,N
Jian Liu,David Hutchison,P
Igor M. Verner,David J. Ahlgren,P
Bill C. Hardgrave,David J. Allstot,N
Hélène Fargier,David J. Allstot,P
Ke Chen 0002,David J. Evans 0001,P
R. K. Mohanty,David J. Evans 0001,N
Ting-Zhu Huang,David J. Evans 0001,N
Avram Sidi,David J. Evans 0001,N
Ioannis Stamelos,David J. Evans 0001,P
Mario Bravetti,David J. Evans 0001,P
Peter Geibel,David J. Evans 0001,P
Daniel A. Keim,David J. Hand,N
Jan P. Allebach,David J. Hand,P
Amit Singhal,David J. Harper,N
Djoerd Hiemstra,David J. Harper,N
Eduard H. Hovy,David J. Harper,N
James Allan,David J. Harper,N
Mark Sanderson,David J. Harper,N
Philip Resnik,David J. Harper,N
Ralph M. Weischedel,David J. Harper,P
Wessel Kraaij,David J. Harper,N
Francis J. M. Schmitt,David J. Harper,N
Desmond C. McLernon,David J. Harper,P
Raad Mohiaddin,David J. Harper,P
Song Chun Zhu,David J. Harper,N
J. Alison Noble,David J. Hawkes,N
Julia A. Schnabel,David J. Hawkes,N
Michael Grass,David J. Hawkes,N
E. Eugene Schultz,David J. Hawkes,N
Jorge A. Torres-Muñoz,David J. Hawkes,N
Akira Ito,David J. Hawkes,P
Domenico Talia,David J. Hawkes,P
Mikhail S. Gelfand,David J. Houck,P
Amos Fiat,David J. Houck,N
Rajeev Motwani,David J. Houck,P
Duen-Ren Liu,David J. Houck,N
Yannis Siskos,David J. Houck,N
John C. Kunz,David J. Houck,N
Charalampos Tsitouras,David J. Jeffrey,P
Jim Hayes,David J. Kriegman,N
Alan C. Schultz,David J. Kriegman,P
Qing Zhao,David J. Lilja,P
Layne T. Watson,David J. Lilja,P
John C. Wierman,David J. Marchette,P
Matti A. Hiltunen,David J. Marchette,P
George Bebis,David J. Marchette,P
Bang Ye Wu,David J. Marchette,N
Anthony D. Joseph,David J. Miller 0001,N
Catherine Rosenberg,David J. Miller 0001,P
Marc M. Van Hulle,David J. Miller 0001,N
Matt Bishop,David J. Miller 0001,P
Robert Braden,David J. Miller 0001,N
Ruzena Bajcsy,David J. Miller 0001,P
Sally Floyd,David J. Miller 0001,N
Shankar Sastry,David J. Miller 0001,P
Shyhtsun Felix Wu,David J. Miller 0001,P
John R. Wagner,David J. Miller 0001,N
Jian Yang 0001,David J. Pym,P
Nohpill Park,David J. Pym,P
Michael E. Papka,David Jones,N
Rick L. Stevens,David Jones,N
Oliver W. W. Yang,David Jones,N
Randal W. Beard,David Jones,P
José Félix Costa,David K. Y. Yau,P
Scott D. Stoller,David K. Y. Yau,P
Amir Shpilka,David K. Y. Yau,N
Dimitrios I. Fotiadis,David K. Y. Yau,N
Jana Dittmann,David K. Y. Yau,P
John R. Koza,David Kortenkamp,N
William Adams,David Kortenkamp,P
Hui Liu,David Kortenkamp,P
Carlo Drioli,David Kotz,N
Heidi Steendam,David Kotz,N
Hao Li,David L. Baumer,N
Kholmatzhon Kh. Imomnazarov,David L. Baumer,N
Aviel D. Rubin,David L. Dill,P
Barbara Simons,David L. Dill,N
Moti Yung,David L. Dill,N
Jaemin Kim,David L. Dill,P
Daeyeon Park,David L. Dill,P
Jonathan Freeman,David L. Dill,N
Congxin Wu,David L. Donoho,P
Georges G. E. Gielen,David L. Donoho,N
Wolf Zimmermann,David L. Donoho,N
Guido M. Schuster,David L. Donoho,N
Lorenzo Pareschi,David L. Hicks,P
Jaime Muñoz Masqué,David L. Hicks,N
Zheng Rong Yang,David L. Hicks,N
Owe Axelsson,David L. Hicks,N
Jing-Shing Yao,David L. Hicks,N
Hong Liu,David L. Pepyne,N
Qianchuan Zhao,David L. Pepyne,N
José A. Moreno-Pérez,David L. Pepyne,P
Koushik Kar,David L. Pepyne,N
Lisa Zhang,David L. Pepyne,N
Gregory D. Schuler,David L. Wheeler,N
Tatiana A. Tatusova,David L. Wheeler,P
Gianluca Pollastri,David L. Wheeler,P
