author,id_article,year
Andrew Large,journals/jasis/LargeBR02,2002
Jamshid Beheshti,journals/jasis/LargeBR02,2002
Christopher S. G. Khoo,journals/jasis/KhooDL02,2002
George D'Elia,journals/jasis/DEliaJWR02,2002
Corinne Jörgensen,journals/jasis/DEliaJWR02,2002
Yoëlle S. Maarek,journals/jasis/AzaguryFMM02,2002
Birger Hjørland,journals/jasis/Hjorland02b,2002
Bert R. Boyce,journals/jasis/Boyce01d,2001
George V. Meghabghab,journals/jasis/Meghabghab01,2001
Abby Goodrum,journals/jasis/GoodrumRJS01,2001
Mark E. Rorvig,journals/jasis/GoodrumRJS01,2001
Quentin L. Burrell,journals/jasis/Burrell01,2001
Amanda Spink,journals/jasis/SpinkG01,2001
Howard Greisdorf,journals/jasis/SpinkG01,2001
Jean-Christophe Doré,journals/jasis/DoreO01,2001
Tiiu Ojasoo,journals/jasis/DoreO01,2001
Eugene Garfield,journals/jasis/Garfield01a,2001
Mounia Lalmas,journals/jasis/RuthvenLR02,2002
C. J. van Rijsbergen,journals/jasis/RuthvenLR02,2002
S. Sitharama Iyengar,journals/jasis/WuIZ01,2001
Robert D. Macredie,journals/jasis/ChenM02,2002
Diane H. Sonnenwald,journals/jasis/MaglaughlinS02,2002
Helmut A. Abt,journals/jasis/AbtG02,2002
Eugene Garfield,journals/jasis/AbtG02,2002
John C. Huber,journals/jasis/Huber02,2002
Elisabeth Davenport,journals/jasis/DavenportC01,2001
Blaise Cronin,journals/jasis/DavenportC01,2001
Leo Egghe,journals/jasis/Egghe02a,2002
Nigel Ford,journals/jasis/FordMM01,2001
David Miller,journals/jasis/FordMM01,2001
Birger Hjørland,journals/jasis/Hjorland02c,2002
Loet Leydesdorff,journals/jasis/Leydesdorff02,2002
Bert R. Boyce,journals/jasis/Boyce01,2001
Bert R. Boyce,journals/jasis/Boyce01i,2001
Andrew Dillon,journals/jasis/Dillon02,2002
Bert R. Boyce,journals/jasis/Boyce01a,2001
John C. Huber,journals/jasis/Huber01,2001
Endre Száva-Kováts,journals/jasis/Szava-Kovats02,2002
Stephen C. Hirtle,journals/jasis/HeoH01,2001
Amanda Spink,journals/jasis/SpinkWFFE02a,2002
T. D. Wilson 0001,journals/jasis/SpinkWFFE02a,2002
Nigel Ford,journals/jasis/SpinkWFFE02a,2002
David Ellis,journals/jasis/SpinkWFFE02a,2002
David C. Blair,journals/jasis/Blair02,2002
Endre Száva-Kováts,journals/jasis/Szava-Kovats02a,2002
Caroline M. Eastman,journals/jasis/Eastman02,2002
Daniel Cunliffe,journals/jasis/CunliffeJJEHM02,2002
Joseph W. Janes,journals/jasis/JanesHR01,2001
Quentin L. Burrell,journals/jasis/Burrell02,2002
Ben Shneiderman,journals/jasis/HochheiserS01,2001
T. D. Wilson 0001,journals/jasis/WilsonFEFS02,2002
Nigel Ford,journals/jasis/WilsonFEFS02,2002
David Ellis,journals/jasis/WilsonFEFS02,2002
Amanda Spink,journals/jasis/WilsonFEFS02,2002
S. Sitharama Iyengar,journals/jasis/ZacharyI01,2001
Chaomei Chen,journals/jasis/ChenCMM02,2002
Robert D. Macredie,journals/jasis/ChenCMM02,2002
Wallace Koehler,journals/jasis/Koehler02,2002
Zhixiang Chen,journals/jasis/ChenMFZ01,2001
Binhai Zhu,journals/jasis/ChenMFZ01,2001
Julian Warner,journals/jasis/Warner02,2002
Clifford A. Lynch,journals/jasis/Lynch01,2001
Bert R. Boyce,journals/jasis/Boyce01k,2001
Fabian A. Ehikhamenor,journals/jasis/Ehikhamenor02,2002
Steve Jones,journals/jasis/JonesP02,2002
Gordon W. Paynter,journals/jasis/JonesP02,2002
William W. Hood,journals/jasis/HoodW01,2001
Concepción S. Wilson,journals/jasis/HoodW01,2001
Ann Peterson Bishop,journals/jasis/MehraBBS02,2002
Bert R. Boyce,journals/jasis/Boyce02b,2002
Daniel Borrajo,journals/jasis/BillhardtBM02,2002
Justin Zobel,journals/jasis/KaszkielZ01,2001
Bert R. Boyce,journals/jasis/Boyce01e,2001
Robert M. Losee,journals/jasis/Losee01,2001
Eugene Garfield,journals/jasis/PudovkinG02,2002
Bernard C. Y. Tan,journals/jikm/KankanhalliTW02,2002
Kwok Kee Wei,journals/jikm/KankanhalliTW02,2002
Chyan Yang,journals/jikm/ChiuY02,2002
Schubert Foo,journals/jikm/BalachandranF02,2002
Ola Henfridsson,journals/jikm/LindgrenH02,2002
James A. Foster,journals/gpem/Foster01,2001
Keith L. Downing,journals/gpem/Downing01,2001
Rolf Drechsler,journals/gpem/SchmiedleDGD02,2002
Lee Spector,journals/gpem/SpectorR02,2002
Alan J. Robinson,journals/gpem/SpectorR02,2002
William B. Langdon,journals/gpem/Langdon01,2001
Christopher R. Stephens,journals/gpem/StephensV01,2001
Martin Middendorf,journals/gpem/MerkleM02,2002
Mark Harman,journals/gpem/MahdaviH02,2002
Lee Spector,journals/gpem/Spector02,2002
Garrison W. Greenwood,journals/gpem/Greenwood01,2001
Wolfgang Banzhaf,journals/gpem/BrameierB01,2001
Annie S. Wu,journals/gpem/WuG02,2002
Hiroto Yasuura,journals/gpem/ShacklefordSCOYSY01,2001
Wolfgang Banzhaf,journals/gpem/Banzhaf01,2001
Hillol Kargupta,journals/gpem/Kargupta02,2002
Wolfgang Banzhaf,journals/gpem/BanzhafL02,2002
William B. Langdon,journals/gpem/BanzhafL02,2002
Jung Hwan Kim,journals/gpem/YasunagaKY01,2001
Juan Julián Merelo Guervós,journals/gpem/DolinG02,2002
Alex Alves Freitas,journals/gpem/Freitas01,2001
Hitoshi Iba,journals/gpem/NikolaevI01,2001
Andrew M. Tyrrell,journals/gpem/LonesT02,2002
Hillol Kargupta,journals/gpem/KarguptaG02,2002
Riccardo Poli,journals/gpem/Poli01,2001
Kerstin Dautenhahn,journals/gpem/Dautenhahn02,2002
Shyan-Ming Yuan,journals/bjet/LiuLY01,2001
David J. Brown 0001,journals/bjet/StandenBC01,2001
Hans van der Meij,journals/bjet/MeijB02,2002
Nick Rushby,journals/bjet/Rushby01b,2001
Nick Rushby,journals/bjet/Rushby02,2002
Peter Brown,journals/bjet/Brown01,2001
Vikram Jha,journals/bjet/JhaWD02,2002
Chuen-Tsai Sun,journals/bjet/LinSK02,2002
Blaine A. Price,journals/bjet/ThomasPPR02,2002
Robin Mason,journals/bjet/MacdonaldHM01,2001
Stephen Houghton,journals/bjet/ZinnoGHLWW01,2001
Jacobijn Sandberg,journals/bjet/SandbergNE01,2001
Nick Rushby,journals/bjet/Rushby02a,2002
Nick Rushby,journals/bjet/Rushby01a,2001
Betty Collis,journals/bjet/CollisW02,2002
James Hartley,journals/bjet/HartleyY01,2001
Nick Rushby,journals/bjet/Rushby01c,2001
James Hartley,journals/bjet/HartleyHM01,2001
John Trushell,journals/bjet/TrushellBM01,2001
Nigel Ford,journals/bjet/FordC01,2001
Nick Rushby,journals/bjet/Rushby01,2001
Michael Hammond,journals/bjet/MumtazH02,2002
Roy B. Clariana,journals/bjet/ClarianaW02,2002
Nick Rushby,journals/bjet/Rushby02b,2002
José-Luis Pérez-de-la-Cruz,journals/bjet/MillanAP01,2001
Chien Chou,journals/bjet/Chou02,2002
Kamala Krithivasan,journals/jalc/ArthiKC02,2002
Erzsébet Csuhaj-Varjú,journals/jalc/ArthiKC02,2002
Paavo Turakainen,journals/jalc/Turakainen01,2001
Mehryar Mohri,journals/jalc/Mohri02,2002
Jean Marcel Pallo,journals/jalc/GermainP02,2002
Henning Fernau,journals/jalc/FernauH02,2002
Markus Holzer 0001,journals/jalc/FernauH02,2002
Jonathan Goldstine,journals/jalc/PelusoGP02,2002
Shashi Phoha,journals/jalc/PelusoGP02,2002
Alexander Meduna,journals/jalc/Meduna02,2002
Patrice Séébold,journals/jalc/Seebold02,2002
Jeffrey Shallit,journals/jalc/DomaratzkiKS02,2002
Jeffrey Shallit,journals/jalc/ShallitW01,2001
Martin Kutrib,journals/jalc/Kutrib02,2002
Katsushi Inoue,journals/jalc/ZhangIIW02,2002
Akira Ito,journals/jalc/ZhangIIW02,2002
Yue Wang 0002,journals/jalc/ZhangIIW02,2002
Doron A. Peled,journals/jalc/PeledVY02,2002
Moshe Y. Vardi,journals/jalc/PeledVY02,2002
Mihalis Yannakakis,journals/jalc/PeledVY02,2002
Sheng Yu,journals/jalc/Yu01,2001
Costas S. Iliopoulos,journals/jalc/HolubIMM01,2001
Borivoj Melichar,journals/jalc/HolubIMM01,2001
Laurent Mouchard,journals/jalc/HolubIMM01,2001
Valérie Berthé,journals/jalc/BertheV01,2001
Laurent Vuillon,journals/jalc/BertheV01,2001
Pál Dömösi,journals/jalc/DomosiE01,2001
Zoltán Ésik,journals/jalc/DomosiE01,2001
Tatjana Petkovic,journals/jalc/PetkovicS01,2001
Magnus Steinby,journals/jalc/PetkovicS01,2001
K. G. Subramanian 0001,journals/jalc/SubramanianTCH01,2001
D. G. Thomas,journals/jalc/SubramanianTCH01,2001
Erkki Mäkinen,journals/jalc/Makinen01,2001
Juraj Hromkovic,journals/jalc/Hromkovi02,2002
Raghavan Rama,journals/jalc/KrishnaR01,2001
Dietmar Wätjen,journals/jalc/WatjenO01,2001
Bakhadyr Khoussainov,journals/jalc/KhoussainovR01,2001
Vincenzo Manca,journals/jalc/MancaMP01,2001
Carlos Martín-Vide,journals/jalc/MancaMP01,2001
Gheorghe Paun,journals/jalc/MancaMP01,2001
Costas S. Iliopoulos,journals/jalc/IliopoulosS01,2001
Jamie Simpson,journals/jalc/IliopoulosS01,2001
Michel Rigo,journals/jalc/RigoM02,2002
Arnaud Maes,journals/jalc/RigoM02,2002
Joost Engelfriet,journals/jalc/EngelfrietFV02,2002
Zoltán Fülöp 0001,journals/jalc/EngelfrietFV02,2002
Heiko Vogler,journals/jalc/EngelfrietFV02,2002
Lucien Haddad,journals/jalc/HaddadMR02,2002
Ivo G. Rosenberg,journals/jalc/HaddadMR02,2002
Markus E. Nebel,journals/jalc/Nebel01,2001
Denis Thérien,journals/jalc/TessonT02,2002
Henning Bordihn,journals/jalc/BordihnH01,2001
Markus Holzer 0001,journals/jalc/BordihnH01,2001
Cezar Câmpeanu,journals/jalc/CampeanuSY02,2002
Kai Salomaa,journals/jalc/CampeanuSY02,2002
Sheng Yu,journals/jalc/CampeanuSY02,2002
Gheorghe Paun,journals/jalc/Paun01,2001
Carlos Martín-Vide,journals/jalc/Martin-VideM02,2002
Victor Mitrana,journals/jalc/Martin-VideM02,2002
Ferucio Laurentiu Tiplea,journals/jalc/TipleaM02,2002
Erkki Mäkinen,journals/jalc/TipleaM02,2002
Manfred Droste,journals/jalc/DrosteG02,2002
Paul Gastin,journals/jalc/DrosteG02,2002
Carlo Mereghetti,journals/jalc/MereghettiP02,2002
Markus Holzer 0001,journals/jalc/HolzerSY01,2001
Kai Salomaa,journals/jalc/HolzerSY01,2001
Sheng Yu,journals/jalc/HolzerSY01,2001
Kosaburo Hashiguchi,journals/jalc/HashiguchiKJ02,2002
Shuji Jimbo,journals/jalc/HashiguchiKJ02,2002
Klaus Denecke,journals/jalc/DeneckeKS01,2001
Antoine Petit 0001,journals/jalc/BouyerP02,2002
Helmut Jürgensen,journals/jalc/AydinJR01,2001
Igor Walukiewicz,journals/jalc/Walukiewicz02,2002
Jürgen Dassow,journals/jalc/DassowWR02,2002
Detlef Wotschke,journals/jalc/DassowWR02,2002
Ferenc Gécseg,journals/jalc/GecsegI02,2002
Balázs Imreh,journals/jalc/GecsegI02,2002
Dietrich Kuske,journals/jalc/KuskeM02,2002
Giovanni Pighizzini,journals/jalc/MilaniP01,2001
Douglas S. Bridges,journals/jalc/BridgesM01,2001
Rainer Kemp,journals/jalc/Kemp01,2001
Frantisek Mráz,journals/jalc/Mraz01,2001
Zoltán Fülöp 0001,journals/jalc/Fulop01,2001
Friedrich Otto,journals/jalc/OttoR01,2001
Huei-Jan Shyr,journals/jalc/Shyr02,2002
Henning Bordihn,journals/jalc/BordihnR02,2002
Taishin Y. Nishida,journals/jalc/Nishida01,2001
Helmut Jürgensen,journals/jalc/JurgensenKK01,2001
Masashi Katsura,journals/jalc/JurgensenKK01,2001
Christian Glaßer,journals/jalc/GlasserS01,2001
Heinz Schmitz,journals/jalc/GlasserS01,2001
Helmut Jürgensen,journals/jalc/Jurgensen01,2001
Albert R. Meyer,journals/jalc/MeyerR02,2002
Chinthananda Tellambura,journals/tcom/TellamburaAB01,2001
Annamalai Annamalai,journals/tcom/TellamburaAB01,2001
Vijay K. Bhargava,journals/tcom/TellamburaAB01,2001
Xiaodong Li,journals/tcom/LiCR02,2002
James A. Ritcey,journals/tcom/LiCR02,2002
Riccardo Raheli,journals/tcom/VannucciR02,2002
Elvino S. Sousa,journals/tcom/YanikomerogluS02,2002
Sang Hyuk Kang,journals/tcom/KangKSC02,2002
Yong Han Kim,journals/tcom/KangKSC02,2002
Dan Keun Sung,journals/tcom/KangKSC02,2002
Bong Dae Choi,journals/tcom/KangKSC02,2002
Robert Schober,journals/tcom/SchoberGL02,2002
Wolfgang H. Gerstacker,journals/tcom/SchoberGL02,2002
Giulio Colavolpe,journals/tcom/ColavolpeR02a,2002
Riccardo Raheli,journals/tcom/ColavolpeR02a,2002
Lie-Liang Yang,journals/tcom/YangH02a,2002
Lajos Hanzo,journals/tcom/YangH02a,2002
David Gesbert,journals/tcom/GesbertBGP02,2002
Helmut Bölcskei,journals/tcom/GesbertBGP02,2002
Arogyaswami Paulraj,journals/tcom/GesbertBGP02,2002
Michael L. Honig,journals/tcom/PhoelH02,2002
Bhaskar D. Rao,journals/tcom/CotterR02,2002
Yong Hoon Lee,journals/tcom/ChoiL02,2002
Massimiliano Martone,journals/tcom/Martone01a,2001
Gabriella Olmo,journals/tcom/OlmoPB01,2001
Letizia Lo Presti,journals/tcom/OlmoPB01,2001
John B. Anderson,journals/tcom/AndersonH02,2002
Sheng Chen 0001,journals/tcom/ChenHM01,2001
Lajos Hanzo,journals/tcom/ChenHM01,2001
Bernard Mulgrew,journals/tcom/ChenHM01,2001
Venugopal V. Veeravalli,journals/tcom/Veeravalli01,2001
Michael L. Honig,journals/tcom/HonigG02,2002
J. Scott Goldstein,journals/tcom/HonigG02,2002
Ravi Narasimhan,journals/tcom/Narasimhan02,2002
Nader M. Namazi,journals/tcom/El-MahdyN02,2002
Milica Stojanovic,journals/tcom/BoyerSP01,2001
John G. Proakis,journals/tcom/BoyerSP01,2001
Carl R. Nassar,journals/tcom/ZekavatN02,2002
Mahesh K. Varanasi,journals/tcom/KapurVD02,2002
Narayan B. Mandayam,journals/tcom/SamardzijaMS02,2002
Ivan Seskar,journals/tcom/SamardzijaMS02,2002
Babak Daneshrad,journals/tcom/GrayverD01,2001
Walter H. Ku,journals/tcom/StaleyLKZ02,2002
James R. Zeidler,journals/tcom/StaleyLKZ02,2002
Langford B. White,journals/tcom/TsimbinosW01,2001
Young C. Yoon,journals/tcom/Yoon02,2002
Khalid Sayood,journals/tcom/PettijohnHS01,2001
Kenneth L. Clarkson,journals/tcom/ClarksonSZ01,2001
Wim Sweldens,journals/tcom/ClarksonSZ01,2001
Shrinivas Gadkari,journals/tcom/GadkariR01,2001
Kenneth Rose,journals/tcom/GadkariR01,2001
Michael L. Honig,journals/tcom/WoodwardRHR02,2002
Predrag B. Rapajic,journals/tcom/WoodwardRHR02,2002
Tim C. Tozer,journals/tcom/BaronkinZT02a,2002
Louis L. Scharf,journals/tcom/McCloudS01,2001
Zygmunt J. Haas,journals/tcom/HaasD02,2002
Yao Ma,journals/tcom/MaLP02,2002
Teng Joon Lim,journals/tcom/MaLP02,2002
Subbarayan Pasupathy,journals/tcom/MaLP02,2002
Marc Engels,journals/tcom/ThoenPEM02,2002
Hugo De Man,journals/tcom/ThoenPEM02,2002
Desmond P. Taylor,journals/tcom/MillerTG01,2001
Peter T. Gough,journals/tcom/MillerTG01,2001
Desmond P. Taylor,journals/tcom/SkeltonT01,2001
Robert Schober,journals/tcom/LampeS01,2001
Visa Koivunen,journals/tcom/MannerkoskiKT01,2001
Desmond P. Taylor,journals/tcom/MannerkoskiKT01,2001
Dov Wulich,journals/tcom/DinurW01,2001
Eiji Okamoto,journals/tcom/OkamotoO02,2002
Dimitrios Hatzinakos,journals/tcom/KarasaridisH01,2001
Ramjee Prasad,journals/tcom/WitrisalKP01,2001
Yu-Chee Tseng,journals/tcom/TsengCP02,2002
Joseph M. Kahn,journals/tcom/ZhuK02,2002
Jamie S. Evans,journals/tcom/Evans02,2002
Michael Rice,journals/tcom/RiceP01,2001
Marco Chiani,journals/tcom/ChianiAA01,2001
Oreste Andrisano,journals/tcom/ChianiAA01,2001
Seung-Woo Seo,journals/tcom/LeeS02,2002
Georgios B. Giannakis,journals/tcom/MartretG02,2002
Vincent K. N. Lau,journals/tcom/LauM01,2001
Geoffrey Ye Li,journals/tcom/LiWS02,2002
Jack H. Winters,journals/tcom/LiWS02,2002
Nelson Sollenberger,journals/tcom/LiWS02,2002
Wojciech Kabacinski,journals/tcom/KabacinskiL02,2002
Ram Zamir,journals/tcom/StoplerZ01,2001
Dennis Goeckel,journals/tcom/WeiG02a,2002
Char-Dir Chung,journals/tcom/ChungH01,2001
John J. Metzner,journals/tcom/ChungM01,2001
Char-Dir Chung,journals/tcom/Chung02,2002
Kyung Sup Kwak,journals/tcom/XuFK01,2001
Mahesh K. Varanasi,journals/tcom/RicciVM02,2002
T. Aaron Gulliver,journals/tcom/ReidGT01,2001
Desmond P. Taylor,journals/tcom/ReidGT01,2001
Keith M. Chugg,journals/tcom/ChuggA01,2001
Daesik Hong,journals/tcom/BangCCJKPH01,2001
Wing Shing Wong,journals/tcom/SungW01,2001
Gi-Hong Im,journals/tcom/Im02,2002
Urbashi Mitra,journals/tcom/ErtinMS01,2001
Jingshown Wu,journals/tcom/HouW02,2002
Xiaodong Wang 0001,journals/tcom/ReynoldsW01,2001
Antonio Napolitano 0001,journals/tcom/NapolitanoT01,2001
Mario Tanda,journals/tcom/NapolitanoT01,2001
John M. Cioffi,journals/tcom/NegiMC02,2002
Marco Luise,journals/tcom/LuiseMR02,2002
Ruggero Reggiannini,journals/tcom/LuiseMR02,2002
Tolga M. Duman,journals/tcom/BahceciD02,2002
James S. Lehnert,journals/tcom/ChoL01,2001
Anders Ahlén,journals/tcom/LindbomASF02,2002
Mikael Sternad,journals/tcom/LindbomASF02,2002
Zhengyuan Xu,journals/tcom/XuT01,2001
Michail K. Tsatsanis,journals/tcom/XuT01,2001
Branka Vucetic,journals/tcom/PonnampalamV02,2002
Brian D. Woerner,journals/tcom/WuWa01,2001
Dennis Goeckel,journals/tcom/OrmeciLGW01,2001
Richard D. Wesel,journals/tcom/OrmeciLGW01,2001
Hossam M. H. Shalaby,journals/tcom/Shalaby02,2002
Yiu-Wing Leung,journals/tcom/LeungXH02,2002
Giulio Colavolpe,journals/tcom/ColavolpeFR01,2001
Riccardo Raheli,journals/tcom/ColavolpeFR01,2001
Sarah Kate Wilson,journals/tcom/LandstromWBOB02,2002
Jan-Jaap van de Beek,journals/tcom/LandstromWBOB02,2002
Per Ödling,journals/tcom/LandstromWBOB02,2002
Per Ola Börjesson,journals/tcom/LandstromWBOB02,2002
Qi Wang,journals/tcom/WangWK02,2002
Lei Wei 0003,journals/tcom/WangWK02,2002
Rodney A. Kennedy,journals/tcom/WangWK02,2002
Sven-Gustav Häggman,journals/tcom/ZhaoH01,2001
David R. Smith,journals/tcom/Sanchez-GarciaS02,2002
Stephen K. Barton,journals/tcom/PengGB01,2001
Marc Moonen,journals/tcom/AckerLMWP01,2001
Olivier van de Wiel,journals/tcom/AckerLMWP01,2001
Thierry Pollet,journals/tcom/AckerLMWP01,2001
Paolo Mandarini,journals/tcom/PiazzoM02,2002
Rahul Singh,journals/tcom/SinghM02,2002
Laurence B. Milstein,journals/tcom/SinghM02,2002
Marvin K. Simon,journals/tcom/SimonA02,2002
Mohamed-Slim Alouini,journals/tcom/SimonA02,2002
Michele Morelli,journals/tcom/Morelli02,2002
Georgios B. Giannakis,journals/tcom/MuquetWGCD02,2002
Marc de Courville,journals/tcom/MuquetWGCD02,2002
Pierre Duhamel,journals/tcom/MuquetWGCD02,2002
Brian L. Hughes,journals/tcom/CozzoH02,2002
Behrouz Farhang-Boroujeny,journals/tcom/Farhang-BoroujenyD01,2001
Marc P. C. Fossorier,journals/tcom/FossorierXZ01,2001
Zixiang Xiong,journals/tcom/FossorierXZ01,2001
Kenneth Zeger,journals/tcom/FossorierXZ01,2001
Andrea Abrardo,journals/tcom/AbrardoGS01,2001
Giovanni Giambene,journals/tcom/AbrardoGS01,2001
Cheng-Shang Chang,journals/tcom/ChangCH01,2001
Nunzio Aldo D'Andrea,journals/tcom/DAndreaLR01,2001
Ruggero Reggiannini,journals/tcom/DAndreaLR01,2001
Mao-Chao Lin,journals/tcom/UengYL02,2002
Teresa H. Y. Meng,journals/tcom/NamgoongM01,2001
Eitan Altman,journals/tcom/AltmanJK01,2001
Ger Koole,journals/tcom/AltmanJK01,2001
Chengshan Xiao,journals/tcom/OlivierX02,2002
Georgios B. Giannakis,journals/tcom/WangG01,2001
Annamalai Annamalai,journals/tcom/AnnamalaiT01,2001
Chintha Tellambura,journals/tcom/AnnamalaiT01,2001
James R. Zeidler,journals/tcom/ReuterAZN01,2001
Naofal Al-Dhahir,journals/tcom/Al-DhahirD02,2002
Hideki Ochiai,journals/tcom/OchiaiI01,2001
Hideki Imai,journals/tcom/OchiaiI01,2001
Stefano Galli,journals/tcom/GalliK02,2002
Kenneth J. Kerpez,journals/tcom/GalliK02,2002
Tjeng Thiang Tjhung,journals/tcom/YuTC01,2001
Chin Choy Chai,journals/tcom/YuTC01,2001
Peter F. Driessen,journals/tcom/CatreuxDG01,2001
Larry J. Greenstein,journals/tcom/CatreuxDG01,2001
Mohammad Saquib,journals/tcom/SaquibY02,2002
Roy D. Yates,journals/tcom/SaquibY02,2002
Marc Engels,journals/tcom/ThoenPGE01,2001
Xiaohua Jia,journals/tcom/JiaDHLG01,2001
Ding-Zhu Du,journals/tcom/JiaDHLG01,2001
Xiao-Dong Hu,journals/tcom/JiaDHLG01,2001
Jun Gu,journals/tcom/JiaDHLG01,2001
Helmut Bölcskei,journals/tcom/BolcskeiGP02,2002
David Gesbert,journals/tcom/BolcskeiGP02,2002
Arogyaswami Paulraj,journals/tcom/BolcskeiGP02,2002
James S. Lehnert,journals/tcom/ChoJL02,2002
Stefan Kaiser,journals/tcom/Kaiser02,2002
Pingyi Fan,journals/tcom/FanX01,2001
Xiang-Gen Xia,journals/tcom/FanX01,2001
Achille Pattavina,journals/tcom/MaierP01,2001
Harry Leib,journals/tcom/Danilo-LemoineL02,2002
Xiaodong Wang 0001,journals/tcom/ReynoldsW02,2002
A. Roger Hammons Jr.,journals/tcom/GamalH02,2002
Giorgio Matteo Vitetta,journals/tcom/ChiavacciniV01b,2001
Hwang-Soo Lee,journals/tcom/KimL01,2001
Saeed Gazor,journals/tcom/GazorRP02,2002
Subbarayan Pasupathy,journals/tcom/GazorRP02,2002
Hideki Ochiai,journals/tcom/OchiaiI02,2002
Hideki Imai,journals/tcom/OchiaiI02,2002
Nicola Laurenti,journals/tcom/VangelistaL01,2001
Javier Garcia-Frias,journals/tcom/Garcia-FriasV02,2002
John D. Villasenor,journals/tcom/Garcia-FriasV02,2002
Velio Tralli,journals/tcom/TralliVVA01,2001
Roberto Verdone,journals/tcom/TralliVVA01,2001
Oreste Andrisano,journals/tcom/TralliVVA01,2001
Laurence B. Milstein,journals/tcom/XuM01,2001
James K. Cavers,journals/tcom/GrantC01,2001
Narayan B. Mandayam,journals/tcom/SaraydarMG02,2002
David J. Goodman,journals/tcom/SaraydarMG02,2002
Robert Schober,journals/tcom/LampeS02,2002
Benjamin Belzer,journals/tcom/BelzerRHF02,2002
Thomas R. Fischer,journals/tcom/BelzerRHF02,2002
Robert Schober,journals/tcom/SchoberL02,2002
Rick S. Blum,journals/tcom/BlumLWY01,2001
Geoffrey Ye Li,journals/tcom/BlumLWY01,2001
Jack H. Winters,journals/tcom/BlumLWY01,2001
John E. Smee,journals/tcom/SmeeS01,2001
Stuart C. Schwartz,journals/tcom/SmeeS01,2001
Alex J. Grant,journals/tcom/GrantS01,2001
Christian Schlegel,journals/tcom/GrantS01,2001
Keith M. Chugg,journals/tcom/AnastasopoulosC01,2001
Robert Schober,journals/tcom/SchoberGH01,2001
Wolfgang H. Gerstacker,journals/tcom/SchoberGH01,2001
Johannes B. Huber,journals/tcom/SchoberGH01,2001
Byoung-Hoon Kim,journals/tcom/KimL01b,2001
Byeong Gi Lee,journals/tcom/KimL01b,2001
Lee M. Garth,journals/tcom/GarthYW01,2001
Jian Yang,journals/tcom/GarthYW01,2001
Jean-Jacques Werner,journals/tcom/GarthYW01,2001
John D. Villasenor,journals/tcom/WenV02,2002
Stephen V. Hanly,journals/tcom/HanlyM02,2002
Rudolf Mathar,journals/tcom/HanlyM02,2002
Marc Moeneclaey,journals/tcom/MoeneclaeyBS01,2001
Mark Van Bladel,journals/tcom/MoeneclaeyBS01,2001
Hikmet Sari,journals/tcom/MoeneclaeyBS01,2001
Ranjan K. Mallik,journals/tcom/MallikW02,2002
Moe Z. Win,journals/tcom/MallikW02,2002
Xiaodong Wang 0001,journals/tcom/LuWN02,2002
Krishna R. Narayanan,journals/tcom/LuWN02,2002
Teng Joon Lim,journals/tcom/MaoL01,2001
Gerald Matz,journals/tcom/MatzMHSG02,2002
Andreas F. Molisch,journals/tcom/MatzMHSG02,2002
Franz Hlawatsch,journals/tcom/MatzMHSG02,2002
Marc P. C. Fossorier,journals/tcom/ChenF02,2002
Hongbin Li,journals/tcom/LiLM01,2001
Jian Li,journals/tcom/LiLM01,2001
Scott L. Miller,journals/tcom/LiLM01,2001
Khaled Ben Letaief,journals/tcom/ChoiLM01,2001
Ross D. Murch,journals/tcom/ChoiLM01,2001
Yunghsiang S. Han,journals/tcom/HanCW02,2002
Po-Ning Chen,journals/tcom/HanCW02,2002
Stefan A. Fechtel,journals/tcom/SpethFFM01,2001
Heinrich Meyr,journals/tcom/SpethFFM01,2001
Idelfonso Tafur Monroy,journals/tcom/Monroy01,2001
Nicholas D. Sidiropoulos,journals/tcom/ZhangST02,2002
Michail K. Tsatsanis,journals/tcom/ZhangST02,2002
Oscar Y. Takeshita,journals/tcom/TakeshitaCMC01,2001
Oliver M. Collins,journals/tcom/TakeshitaCMC01,2001
Daniel J. Costello Jr.,journals/tcom/TakeshitaCMC01,2001
Helmut Bölcskei,journals/tcom/Bolcskei01,2001
Iain B. Collings,journals/tcom/DavisC01,2001
Krishna R. Narayanan,journals/tcom/DoanN02,2002
Maan A. Kousa,journals/tcom/Kousa02,2002
Byeong Gi Lee,journals/tcom/MaengL01,2001
Georgios B. Giannakis,journals/tcom/ZhouGS01,2001
Anna Scaglione,journals/tcom/ZhouGS01,2001
Stefano Buzzi,journals/tcom/BuzziP01,2001
H. Vincent Poor,journals/tcom/BuzziP01,2001
Masoumeh Nasiri-Kenari,journals/tcom/AzmiNS02,2002
Jawad A. Salehi,journals/tcom/AzmiNS02,2002
Dennis Goeckel,journals/tcom/GoeckelA02,2002
Arne Svensson,journals/tcom/MielczarekS02,2002
Roberto Gaudino,journals/tcom/BoscoCCGPB01,2001
Pierluigi Poggiolini,journals/tcom/BoscoCCGPB01,2001
Sergio Benedetto,journals/tcom/BoscoCCGPB01,2001
Giuseppe Caire,journals/tcom/CaireM01,2001
Urbashi Mitra,journals/tcom/CaireM01,2001
Sumit Roy 0001,journals/tcom/RoyY02a,2002
Paul H. Siegel,journals/tcom/ObergS01,2001
Yong-Hwan Lee,journals/tcom/CheongL02,2002
Li Ping 0001,journals/tcom/Ping01,2001
Michele Zorzi,journals/tcom/Zorzi02,2002
Ozan K. Tonguz,journals/tcom/TonguzF02,2002
