source,target,prediction
David Beckwith,Junguk L. Kim,N
Shaomeng Wang,William H. Mangione-Smith,N
Q. M. Jonathan Wu,Yan P. Yuan,N
Arthur I. Karshmer,Lihua Xie,N
C. J. van Rijsbergen,Alf J. Isaksson,N
Nicholas M. Patrikalakis,Mayumi Masuko,N
Lale Akarun,P. Bryan Heidorn,N
Tony Savage,Mary F. Fernandez,N
Hyeong-Ah Choi,Victor Firoiu,N
Hayit Greenspan,Stasys Jukna,N
Jennifer J. Ockerman,John Fulcher,N
Michal Pechoucek,J. Michael Cherry,N
Keith Decker,Ali El-Hajj,N
Sharad Malik,Petko Hr. Petkov,N
Natalia V. Shakhlevich,Charles Oppenheim,N
David J. Jeffrey,Hikoe Enomoto,N
Duan-Shin Lee,William H. Cunningham,N
Luc J. Van Gool,Sophia Tsakiridou,N
Tony S. Lee,Yeong-Ho Ha,N
Ibrahim Cahit,Pietro Alessandro Brivio,N
Marta Cialdea Mayer,Martin Berz,N
Ying Chen,Christos Koukouvinos,N
Takayuki Arai,Srini B. Tridandapani,N
Ramón Pino Pérez,Mahmut T. Kandemir,N
Thomas M. Tirpak,Prabir K. Pal,N
Tuomas Sandholm,Cauligi S. Raghavendra,N
Mario Szegedy,Fabio Schiattarella,N
Richard H. Middleton,Tatjana Petkovic,N
Rafael Dueire Lins,Brigitte Vallée,N
Wenhong Luo,Hemant D. Tagare,N
Berry Schoenmakers,Gábor Korchmáros,N
Svend Frølund,Uta Pankoke-Babatz,N
Anna Maria Colla,Bobby G. Sumpter,N
Hermann Hellwagner,Jing Peng,N
Peter N. Steinmetz,D. de Caen,N
Simonetta Balsamo,Dana S. Nau,N
X. Rong Li,Heinz Kredel,N
Kevin McDougal,Atila Ertas,N
Ralph Neff,Devon D. Brewer,N
Sangsin Na,Yves Métivier,N
Alfonso Carlosena,Alle-Jan van der Veen,N
Hamish Cunningham,Pasi Fränti,N
Sheng-De Wang,Pamela W. Jordan,N
Maarten van Steen,Bernard C. Jiang,N
Alle-Jan van der Veen,Jung-Hoon Lee,N
Josiane Zerubia,David P. Dobkin,N
Junguk L. Kim,Andrei Paun,N
Joris Groen,Mary Beth Rosson,N
Ue-Pyng Wen,Monson H. Hayes,N
Alessandro Bogliolo,Luca Viganò 0001,N
Gert Cauwenberghs,Lakmal D. Seneviratne,N
Marie-Laurence Mazure,Patrick J. Loughlin,N
Jerzy A. Filar,Sandy Irani,N
Alexander A. Mikhalev,Gerard B. M. Heuvelink,N
Richard C. Larson,Kewal K. Saluja,N
Maria Fox,Robert H. Gilman 0001,N
Odile Marcotte,Yuji Yoshida,N
Daniele Riccio,Amy J. C. Trappey,N
Karl Heinz Borgwardt,J. Shao,N
Alfred Auslender,Rita Puzmanova,N
Rudolf Kruse,Daniel Bullock,N
Pietro Carlo Cacciabue,Andrzej W. Kraszewski,N
Charles R. McClure,H. Edwin Romeijn,N
Jing Huang,Andreas Weiermann,N
Yoram Halevi,Jack M. Rogers,N
Tyrone E. Duncan,Pierre Degauque,N
Francesco M. Donini,Hiroaki Mukaidani,N
William G. Griswold,Millist W. Vincent,N
John J. Bartholdi III,Robert Fox,N
Choong C. Lee,W. Andrzej Sokalski,N
Shigeo Takahashi,Jiu-Lun Fan,N
Daniel Robey,Rob C. van Ommering,N
Hao Wang,Kishore Sinha,N
Kevin J. Coakley,Jaroslav Kautsky,N
Timothy Clark,Phuoc Tran-Gia,N
Raphael Ritz,Rajiv Sabherwal,N
Sundeep Sahay,Hamid R. Arabnia,N
Atsuto Maki,Erik Rolland,N
Spyros Tragoudas,Wen-Ben Jone,N
Keikichi Hirose,Brad T. Vander Zanden,N
Roger S. Cheng,Akira Maruoka,N
Roel Bloo,Victor L. Selivanov,N
Anne Kaldewaij,Jérôme Idier,N
Monica Landoni,Vicente Serradell,N
Ileana Streinu,Yves Lespérance,N
Ralph Highnam,Philip R. Cohen,N
Bruce H. McCormick,Veselko Gustin,N
Jerome A. Rolia,David E. Boyce,N
Bu-Sung Lee,Ching-Fang Liaw,N
Michael Franz,James Arthur Kohl,N
Hung-Yuan Chung,G. Michael Schneider,N
Michael A. Frumkin,Timothy Porter 0001,N
Ye-Hwa Chen,Robert Spence,N
Detlef Sieling,Sriram Padmanabhan,N
Jörg Eisfeld,Immanuel M. Bomze,N
Marc Deléglise,Emanuel Melachrinoudis,N
Lina J. Karam,Luigi Bedini,N
Dennis R. Morgan,Paul H. E. Tiesinga,N
Les A. Piegl,John L. Goldwasser,N
Roy Featherstone,Henrik Sahlin,N
Jacques Desrosiers,Qing Hu,N
Elisabetta Santi,Masao Ikeda,N
Barton P. Miller,Florian Roussel,N
Jin Li 0001,Nicholas Molton,N
Lilong Cai,Thomas Schwentick,N
Adam Fadlalla,Hongbing Fan,N
Tran van Trung,Kurt VanLehn,N
Jianning Xu,Gregory L. Cherlin,N
Stefan Hougardy,Fumitoshi Matsuno,N
Peter Buhler,Kumar N. Sivarajan,N
Symeon Papavassiliou,Runtong Zhang,N
Anne Canteaut,Svetlana Cojocaru,N
Giulio Colavolpe,Bert Randerath,N
Dorothy G. Dologite,Robert Schober,N
Sonia Fahmy,Catherine Mongenet,N
Athman Bouguettaya,Jean-Christophe Cuillière,N
Alan Roberts,Xavier Cousin,N
Zhi Ding 0001,Elie Sanchez,N
Gianmarco Veruggio,Barbara F. La Scala,N
Onur Toker,Brian Boffey,N
Joze Duhovnik,Ping Liang,N
M. E. Kabay,Jan van den Heuvel,N
Kaj Holmberg,Sergei Bespamyatnikh,N
Kazuhisa Watanabe,Donald E. Thomas,N
Emiel Krahmer,Giorgio Gallo,N
Lain-Chyr Hwang,John Placer,N
Moni Naor,Kurt S. Riedel,N
Byoung-Hoon Kim,Chen-Khong Tham,N
S. Lee,Walter Tholen,N
Domenico Saccà,Carole L. Palmer,N
Aníbal Ollero,David Edmond,N
Jirí Rosický,Jytte Brender,N
Vladimir Marianov,Hikoe Enomoto,N
B. H. Ong,James H. Aylor,N
Xudong Luo,Hiroshi Sakurai,N
Francesco Parisi-Presicce,Laurie J. Kirsch,N
Daniel P. Bovet,Jong Park,N
Michele Giugliano,Luis L. Bonilla,N
Zvi Drezner,Dong-wan Tcha,N
Michiel van Lambalgen,Susan V. Vrbsky,N
Kousuke Kumamaru,Gianpiero Cabodi,N
Dario Maio,Michèle Sebag,N
Yossi Azar,Ray J. Dawson,N
Henk D. L. Hollmann,Wei-Ming Ni,N
James M. Coughlan,Mamoru Hosaka,N
Shinichi Nakasuka,Thomas Stützle,N
Fayez El Guibaly,Robert D. Galliers,N
Liam J. Bannon,Mohammad Saquib,N
John D. McGregor,Maurice Clint,N
Roland Hausser,Arthur L. Liestman,N
Jean-Loup Risler,Maria J. Serna,N
Ananth V. Iyer,Richard Wolski,N
Patrick Celka,Guang Gong,N
Zhiqiang Tan,Ramesh Bharadwaj,N
Alan H. Barr,Toru Kumagai,N
Paul J. M. Frederiks,Amar Mitiche,N
Antoni Broquetas,Sangsin Na,N
Hiroki Shizuya,Daniel I. Meiron,N
Stephen S.-T. Yau,Suresh Subramaniam,N
Li-Zhi Liao,Thomas Hofmann,N
Zhaoping Li,Friedrich Eisenbrand,N
Markku Tinnilä,Laure Blanc-Féraud,N
John Kim Pedersen,Jean-Pierre Le Cadre,N
Shuzo Yajima,Dirk Aeyels,N
Sheng-Tzong Cheng,John W. Moon,N
Jens B. Schmitt,Se June Hong,N
L. Ridgway Scott,Kenichi Taniguchi,N
Bingsheng He,Feng Wang,N
Gérard Subsol,Kazuo Sumita,N
Andreas Brandt,Hans-Peter A. Künzi,N
Kim L. Boyer,Jorng-Tzong Horng,N
Kung-Hau Ding,Kaj Holmberg,N
Gary MacGillivray,Piergiulio Maryni,N
Helen M. Edwards,Maurizio Dècina,N
Craig Standing,Wolfgang Rosenstiel,N
Eduardo Sanchez,Willem Hundsdorfer,N
Osamu Okamoto,Jacques Resing,N
Lucas Roh,Donna Peuquet,N
Tony P. Pridmore,Cha'o-Kuang Chen,N
Antonio Sassano,Karl-Heinz Best,N
Kenneth Rose,Didier Georges,N
Y. Y. Yao,Sergio Cerutti,N
Franco Bartolini,Hai Zhou,N
Ruben Abagyan,Mani Soma,N
Karsten Schmidt 0004,Helena Szczerbicka,N
Seung-Woo Seo,Ravi Mukkamala,N
Beresford N. Parlett,Andrea Sorbi,N
Michele Benzi,Andreas Stein,N
Ya-Qin Zhang,David J. Hill 0001,N
Laurence H. Berman,Ann M. Bisantz,N
V. Lakshmi Narasimhan,David Makinson,N
Tamara Sumner,Richard M. Schwartz,N
Paolo Ferragina,Claude Kirchner,N
Nihar R. Mahapatra,Anand Raghunathan,N
Paul Shaw,Gerald E. Farin,N
Nina Amenta,Guanghan Xu,N
Ling Liu 0001,Ryan Moats,N
Sanjiv K. Bhatia,Barry F. Smith,N
Konstantinos N. Plataniotis,Hiroakira Ono,N
Sanghoon Sull,Ruth F. Curtain,N
Vladimir V. Kornyak,Pedro Rangel Henriques,N
Robert D. Skeel,Bernhard Beckermann,N
B. N. Wang,Serkan Hosten,N
Binay K. Bhattacharya,David G. Green,N
Jean-Jacques Hébrard,Bruno Aiazzi,N
Shing-Tung Yau,Ho Geun Lee,N
Barbara M. Smith,Jörn Müller-Quade,N
Peter E. D. Love,Paul J. Layzell,N
Jean Anglesio,Jonathan D. Rosenberg,N
Osamu Okamoto,Matthias Maischak,N
Qi-Ming He,Imre Csiszár,N
Ioannis Pitas,Adwait Ratnaparkhi,N
Lata Narayanan,Joris S. M. Vergeest,N
Aníbal R. Figueiras-Vidal,Peter Buneman,N
Akmal B. Chaudhri,Ping Wang,N
Bahram Ravani,J. Ross Beveridge,N
Jordan M. Berg,Jean-Louis Imbert,N
Tsuneo Yoshikawa,Kiyonari Inamura,N
Roland T. Chin,Greg Kuperberg,N
Stéphane Louboutin,Klaus Stüben,N
Sergio Verdú,Ole Lehrmann Madsen,N
Raymond R. Devillers,Louis-Jean Boë,N
Ashim Garg,Kate Larson,N
João Lourenço,Roberto Kawakami Harrop Galvão,N
Wai Wan Tsang,Susumu Goto,N
Satish K. Tripathi,Prithvi Rao,N
Evangelos A. Yfantis,Maqbool Dada,N
Luc Berthouze,Ce-Kuen Shieh,N
Hang Li,Pawan Lingras,N
Michel Riveill,Peter Kwong-Shun Tam,N
Christopher Fry,Randy H. Katz,N
Emili Besalú,Philip K. Chan,N
Fred Mintzer,Vidyadhar G. Kulkarni,N
Walter Schempp,Robert Veroff,N
Stephen A. Fenner,Pavel Pudlák,N
Michele Nappi,Jianxin Zhou,N
Richard F. Hartl,Lou Berger,N
Duane W. DeTemple,Marvin K. Nakayama,N
Bin Yu,Christophe De Vleeschouwer,N
William H. Sanders,Fedor V. Fomin,N
N. Ranganathan,June-Ho Yi,N
Yoram Ofek,Shuichi Ino,N
Yuan-Kai Wang,Sergio Verdú,N
Abbas K. Zaidi,Jerome Yen,N
Han Ho Choi,Krzysztof Galkowski,N
Michel C. Desmarais,M. Cecilia Verri,N
Enzo Baccarelli,Jeff Kramer,N
Charles E. Perkins,Ron Musick,N
Javier Aracil,Jim Davies,N
Luca Bergamaschi,Darryl K. Nester,N
Nathaniel J. Davis IV,Benjamin B. M. Shao,N
Yu Hen Hu,Daohang Sha,N
William R. Pulleyblank,Thomas Wilke,N
Jun-ichi Hasegawa,Jan-Jan Wu,N
Alfredo Bermúdez,Christoph Pflaum,N
Karl E. Wiegers,Srinivasan Vedantham,N
Chita R. Das,Paolo Penna,N
Paolo Massazza,Lori A. Clarke,N
Hui Li,Nguyen V. Thoai,N
Anna Tonazzini,Andreas Richter,N
Rob Kling,M. Leonor Contreras,N
Kunihiko Fukushima,Partho Pratim Mishra,N
Khaled A. Mayyas,J. Mark Ware,N
Jon O'Brien,L. Miguel Encarnação,N
Michael Margaliot,Gang Yu,N
Ciprian Chelba,Franco Callegati,N
Jens Kaasbøll,Alois Ferscha,N
Steven S. Seiden,Myung-Soo Kim,N
Ales Ude,Ming-Feng Chang,N
Mark Wallace 0001,David W. Capson,N
Aaron D. Wyner,Brian D. O. Anderson,N
Whoi-Yul Kim,Zeger Degraeve,N
Daniel F. García,Marimuthu Palaniswami,N
Tijn Borghuis,Virginia Mary Lo,N
Wojciech Rytter,Sten Grillner,N
Ulrich Frank,Nick Moore,N
Louis-Jean Boë,Dennis M. Breuker,N
Rodica Branzei,John Bowers,N
Carsten Pohl,Lutz Volkmann,N
Shahrokh Saeednia,Calvin T. Swift,N
Jian Lu,Daniel A. Griffith,N
Yukinori Kakazu,D. Louis Collins,N
Gunter Schlageter,John W. Priest,N
Bernard J. Matkowsky,Michel Raynal,N
Derek L. Eager,James A. Bucklew,N
David S. Gunderson,Christian Stary,N
Ding-An Chiang,Ming-Tang Lin,N
Shlomo Weiss,Robert M. Davison,N
Yan Li,A. Lee Swindlehurst,N
Kwok-Wa Lam,Stefano Fusi,N
Milton Mueller,Friedemann Leibfritz,N
James Schoening,Per Gunningberg,N
V. Chandru,Andrew B. Nobel,N
Sarma B. K. Vrudhula,Philippe Loubaton,N
R. Todd Constable,Joel I. Seiferas,N
Marco Tomassini,Oliver Pretzel,N
Yiu-Wing Leung,Lester Lipsky,N
Kemin Zhou,Jean-François Saclé,N
Michel Defrise,Byung Suk Lee,N
Xue-Bin Liang,Bruno Sericola,N
João C. N. Clímaco,Ramachandran Ramjee,N
Paolo Marenzoni,Jan K. Pachl,N
Guanghui Liu,Jingcheng Wang,N
Woo-Jin Song,Jan van den Heuvel,N
Madhav V. Marathe,Marius Fieschi,N
Dieter Baum,Jerry M. Mendel,N
N. K. Kwak,Johnny A. Johannessen,N
Can Türker,Kemal Ebcioglu,N
Philip J. B. Brown,Steve Y. Chiu,N
Rüdiger Westermann,Youyi Feng,N
Stephen Houghton,Sulamita Klein,N
Søren Nørvang Madsen,Zaid T. Balkhi,N
Torfinn Taxt,Dimiter Vakarelov,N
Vangalur S. Alagar,Francesco Ranzato,N
Abdollah Khodkar,Luciano Baresi,N
Qing Yang 0001,P. M. Melliar-Smith,N
Prem Kumar Kalra,Paul Shabajee,N
Jean-Louis Roch,Ted Herman,N
Ioannis Stavrakakis,Peter Shirley,N
Andreas Schilling 0001,Liviu Iftode,N
Severino V. Gervacio,Emmanuel C. Ifeachor,N
Tim N. Phillips,Mark Johnson 0001,N
Helen C. Purchase,Danny B. Lange,N
Alexander Bochman,K. T. Arasu,N
Martin Hildebrand,J. V. Tucker,N
Luis Enrique Sucar,Peter R. Innocent,N
Yoji Kajitani,Bernd Mulansky,N
Hsi-Jian Lee,Andrzej Kolinski,N
Carmen Cortés,Edward W. Large,N
Yi Xiao,Karim Abdel-Malek,N
Jim Pitman,Preben Mogensen 0002,N
Peter Hoeher,Gülay Barbarosoglu,N
Nikolaos K. Uzunoglu,Abdellatif Agouzal,N
Panu Somervuo,Steve Hitchcock,N
Michael Paterakis,Teresa W. Haynes,N
Makoto Takizawa 0001,Lionello Pogliani,N
Barry G. Sherlock,Harri Ehtamo,N
Dana Edberg,Friedrich Eisenbrand,N
Adrian David Cheok,Raja Venkateswaran,N
Donald J. Abraham,Amitava Majumdar,N
Raja Venkateswaran,Yun Hee Kim,N
W. Andrzej Sokalski,Andy Hopper,N
Janusz A. Brzozowski,Katherine M. Chudoba,N
Paul C. Kainen,Manuel Lozano,N
Gonzalo Navarro,James A. Cadzow,N
Neeraj Magotra,Minoru Tanaka,N
Andrey A. Mironov,Susanne E. Hambrusch,N
Jurek Czyzowicz,David Landsman,N
Ion Petre,Helena Mitásová,N
Gagan Hasteer,Bernard J. Matkowsky,N
Peter Gemmell,Richard E. Korf,N
Li Zhao,Carol Van Ess-Dykema,N
Keisuke Tanaka,Sang Wu Kim,N
Robert E. Schapire,Steffen Lempp,N
Markus Jakobsson,Haldun Aytug,N
Avi Ziv,Barry Smith 0001,N
Weimin Han,Eric Monfroy,N
Taro Maeda,Alan Weiss,N
Vladimir P. Gerdt,Siddhartha S. Syam,N
Anatoly V. Lakeyev,Ken Barker,N
Vasco Thudichum Vasconcelos,Jarmo Rantakokko,N
László A. Székely,James V. Krogmeier,N
Steve Smale,Francisco Toledo,N
Priscilla Caplan,Lishan Kang,N
Ingo Schmitt,Barbara O. Rothbaum,N
D. Robert Iskander,Ali El-Hajj,N
Hendrik Van Maldeghem,Trevor I. Fenner,N
Jean-Pierre Merlet,Yasuhiro Nakamura,N
Omar A. El Sawy,Maria Francesca Costabile,N
Edward D. Lazowska,Ivan De Falco,N
Sándor P. Fekete,Achille C. Varzi,N
Timo Ojala,David H. Bailey,N
Samuel R. Buss,Norman Wilde,N
Deepak Kapur,Jerzy Michael,N
Joel Greenberg,Raghu Raghavan,N
Anders Lansner,Ingrid Daubechies,N
César Hervás,Michal Young,N
Roque Marín,Albert Mo Kim Cheng,N
Radu Horaud,Charalampos Tsitouras,N
Kagan Tumer,Jean-Eric Pin,N
Michael R. Vaughan-Lee,Marc Daumas,N
Do Y. Kwak,Ennio Cascetta,N
S. Nannicini,Sang M. Lee,N
Dien D. Phan,Jan-J. Rückmann,N
David A. Thorner,Steven R. Weller,N
Carla Raffaelli,Larry J. Langley,N
Steve Y. Chiu,Xiaobo Zhao,N
Oliver Pretzel,Liisa Holm,N
Hans-Peter Seidel,Cunsheng Ding,N
K. Brooks Reid,Lusheng Wang,N
Carlo Montangero,Charalampos Tsitouras,N
Wim H. Hesselink,Terry Gaasterland,N
Uday S. Karmarkar,Akinori Sarai,N
Thomas R. Ioerger,Renate A. Schmidt,N
Stuart G. Stubblebine,Kyung-Yong Chwa,N
Natalia V. Andrienko,Furio Honsell,N
Manos Roumeliotis,Lieven Vandenberghe,N
Jan Heering,Alois Potton,N
Klaus Havelund,Jon Hartwick,N
Jens Lagergren,Seán F. McLoone,N
Bernd Mayer,Liisa von Hellens,N
Chern-Lin Chen,Jean-Louis Coatrieux,N
Luis B. Lopes,John L. Goldwasser,N
Sunil Vadera,Pat Finnegan,N
Jeffrey C. Trinkle,Gregory B. Sorkin,N
Sergei L. Bezrukov,Robert V. Kenyon,N
Kiichi Urahama,John Power,N
Hong Yan 0002,Philip M. Dean,N
Winston Khoon Guan Seah,Michael Buro,N
Hemant K. Bhargava,Luciano Lenzini,N
Eyad H. Abed,Donald J. Abraham,N
Elias N. Houstis,Charles Cresson Wood,N
Jonathan David Farley,Margaret Kinnell,N
M. A. Johnson,Emilio Leonardi,N
Darrell D. E. Long,Tony J. Prescott,N
Khosrow Sohraby,Xiao-Chuan Cai,N
Paul W. Goldberg,Leong Kwan Li,N
Michio Sugeno,Sam Kwong,N
Ludovít Niepel,Minghe Sun,N
Barbee Teasley,Dimitri P. Bertsekas,N
Winfried K. Grassmann,James Schoening,N
Kevin Cleary,Maylor K. H. Leung,N
Behrooz Kamgar-Parsi,Muhammad H. Alsuwaiyel,N
Howard Greisdorf,K. M. Koh,N
Elaine Cohen,Houston H. Carr,N
Martin C. Carlisle,Jianjian Song,N
Tiko Kameda,Edward A. Lee,N
Doug Burger,David E. Bernholdt,N
Maria Calzarossa,Gerald J. Dobeck,N
Manfred Kudlek,Zhilin Li,N
Dirk Van Dyck,Taher Daud,N
Marty Humphrey,Hideo Matsuda,N
Ignasi Corbella,Chu-Ren Huang,N
Dilip Sarkar,Demetri Terzopoulos,N
Panos Koukoulas,Maria Luisa Sapino,N
Ward Whitt,Chris J. Budd,N
Kazem Sohraby,Junichi Higo,N
Tracy Hall,Rym Mili,N
Lin-Shan Lee,Rossella Petreschi,N
Wayne J. Book,Raju Pandey,N
George Drettakis,Daniel J. Pierce,N
Katsumi Uezato,Birsel Ayrulu,N
Fabio Graziosi,Zhimei Jiang,N
Jiaoying Shi,Matthias Blume,N
Urs Schoepflin,Melanie Mitchell,N
Keikichi Hirose,Jennifer J. Ockerman,N
Marian H. Nodine,Jan Chomicki,N
Venkatesh Radhakrishnan,Maxim A. Olshanskii,N
Torsten Lehmann,Stephen P. DeWeerth,N
Kyu-Young Whang,Dong Sam Ha,N
Günter F. Steinke,Kamal Lodaya,N
Roger Fletcher,Jean Pierre Cocquerez,N
Guenter Stoesser,Mary Lacity,N
Amedeo R. Odoni,Barbara L. Davis,N
Hongbin Li,Branislav Djokic,N
David J. Grimshaw,John A. Copeland,N
John Leslie King,Baowen Xu,N
Vangelis Karkaletsis,Dario Maio,N
Po-Jen Chuang,Wolfgang Klas,N
Heinrich Wansing,Deborah Knox,N
Wan Kyun Chung,Surya B. Yadav,N
Paul H. Edelman,Yukio Saito,N
Tommi S. Jaakkola,Debranjan Sarkar,N
Armando Blanco,Tsu-Tian Lee,N
David E. Johnson,Jayant Kalagnanam,N
W. Wright,Reinaldo M. Palhares,N
K. P. Unnikrishnan,Wasfi S. Kafri,N
Bryan F. Jones,Ramón Huerta,N
Luis M. de Campos,Zebo Peng,N
Xiujun Li,Eiji Okamoto,N
Jen-Chih Lin,Kelly Black,N
Sándor Molnár,András Gács,N
Dominique Rieu,Jan M. Rabaey,N
Prakash P. Shenoy,Dieter W. Fellner,N
Gabriele Manduchi,Iván Area,N
Oscal T.-C. Chen,Cédric Demeure,N
Yuhui Yao,Mark Boguski,N
Margaret Kinnell,Jan-Georg Smaus,N
Mariko Hagita,Ehud Rivlin,N
Guangwu Meng,Neil F. Doherty,N
Peter R. Bono,Jean-Luc Marichal,N
John Kim Pedersen,Antoine Petitet,N
Kaisa Sere,Roland Mech,N
József Balogh,Thierry Lafouge,N
Bernhard Pfahringer,David McSherry,N
Eibe Frank,Shashi K. Gadia,N
Claude Samson,Sybille Hinze,N
Kevin L. Mills,Ting-Lu Huang,N
Siegfried Selberherr,Masao Kasahara,N
Amir H. Farrahi,Steven D. Blostein,N
Nei Kato,Defu Zhang,N
Yukio Kosugi,Fathei M. Zeyada,N
José Iovino,Robert A. Greenes,N
Vladimir Castro Alves,Natalia V. Andrienko,N
Jim Hunter,Tony Li,N
Joel T. Johnson,N. K. Bose,N
S. P. Chan,Jacques M. Bahi,N
Hamideh Afsarmanesh,Tamar Schlick,N
Antonio Gisolfi,François-Marie Bréon,N
Hark Hwang,Barry G. Evans,N
Barbee Teasley,Cormac J. Sreenan,N
Shih-Lin Hung,Vincent Dugat,N
Helen Gustafson,Piero A. Bonatti,N
Sebastian Seibert,Frank Plastria,N
Enrique Casanovas,Fritz Krückeberg,N
Klaus Ritter 0001,John R. Barker,N
Jan Madsen,John L. Arnott,N
F. Javier Lerch,Setsuo Ohsuga,N
Lewis Stiller,Ching-Hsien Hsu,N
Dilip D. Kandlur,Kai-Tai Song,N
Zi-Xia Song,Jürgen Kurths,N
Cyrus Chothia,Rob J. van der Geest,N
Johannes Klein,Christopher J. Taylor 0001,N
William Moran 0001,Julien Cassaigne,N
Richard Blute,Jukka Paakki,N
José Luis Maté,John Daugman,N
Michael W. Masters,Bhaba R. Sarker,N
Nasrin Soltankhah,Teodor Rus,N
Achim Schweikard,Jirí Mates,N
Bayan S. Sharif,Laura Giarré,N
James W. Fickett,Jens Gregor,N
Graham M. Birtwistle,Abel J. P. Gomes,N
Umpei Nagashima,Sabine Wittevrongel,N
Johannes Gärtner,Jean-Jacques Werner,N
Gyula O. H. Katona,Sung-Bae Cho,N
Ching-Chang Wong,Josyula R. Rao,N
H. Joel Trussell,David B. Kidner,N
Pao-Ann Hsiung,David G. Kirkpatrick,N
Gordon M. Crippen,Edward R. Scheinerman,N
Gerald R. Ash,Derek H. Sleeman,N
Jean-Pierre Nadal,Uta Pankoke-Babatz,N
Tony Narayaninsamy,Gianluca Cena,N
Shlomo Reisner,Lois Wright Hawkes,N
Toader Jucan,Arnold Neumaier,N
Kenneth L. Shepard,Partha Pratim Kanjilal,N
Steve McLaughlin 0001,Mohammedi R. Abdel-Aziz,N
Boleslaw K. Szymanski,Chil-Woo Lee,N
Mark J. T. Smith,Irene Luque Ruiz,N
Peter D. Mosses,Raja Parasuraman,N
Lutz J. Heinrich,Martín Matamala,N
Douglas J. Klein,Patrizia Beraldi,N
Roberto Tadei,Michel Gendreau,N
Seth M. Malitz,David W. Reed,N
James R. Williamson,Branislav Djokic,N
George C. Verghese,John K. Goutsias,N
Thomas I. Seidman,Angelo Corana,N
Mohammedi R. Abdel-Aziz,Chu-Hsing Lin,N
Ralph Grishman,Chao-Ton Su,N
Takashi Fukuda,Antonio Núñez,N
Gerard G. L. Meyer,TingTing Hwang,N
Peter O'Connor,Sergei Evdokimov 0001,N
Shlomo Maital,Salim Hariri,N
I. D. Coope,John A. Ellis,N
Craig Gotsman,Rudolf Ahlswede,N
David A. Bell,David Gamarnik,N
Klaus Kriegel,Rhonda Kay Gaede,N
Olav Egeland,Peter Burden,N
Kim-Fung Man,Emili Besalú,N
Tatsuo Arai,Richard B. Lehoucq,N
Karl-Erwin Großpietsch,Noboru Takagi,N
John Placer,Mitchell D. Trott,N
Peter N. Brett,Jan Brousek,N
Masanori Idesawa,Willemien Visser,N
Minerva M. Yeung,Xavier L. Aubert,N
Nguyen Huu Cong,Paul D. Amer,N
Yong Fang,William W. Cooper,N
Cezary Czaplewski,Jun-ichiro Toriwaki,N
Donna Crystal Llewellyn,Christian M. Reidys,N
Andrew J. Woldar,Andrew S. Tanenbaum,N
Vijay K. Garg,John W. Daly,N
Thilo Götz,Shahrokh Valaee,N
S. H. Ong,Petra Schuurman,N
Holger Luczak,V. G. Vovk,N
Stéphane Mallat,William E. Wright,N
Xavier L. Aubert,Guoling Shen,N
John G. Proakis,Ren C. Luo,N
Dwight Duffus,Arne Svensson,N
Weimin Han,Gur Mosheiov,N
Byoung-Tak Zhang,Akira Fukuda,N
Hideya Iwasaki,Mitchell Wand,N
Franco Bartolini,Feng Zhao,N
Roelof Kuik,Günther Palm,N
Wilson C. Hsieh,Tamar Eilam,N
Marcel Wild,Jadranka Skorin-Kapov,N
Ioannis Hatzilygeroudis,John Fulcher,N
Peter J. F. Lucas,Sherry Yang,N
Stuart E. Madnick,Lenore D. Zuck,N
Roberto Scopigno,R. Krishnan,N
Lars Engebretsen,Simon J. Godsill,N
Klaus Havelund,Michael Kaminski,N
Mehmet Celenk,Alison Cawsey,N
Marina Ribaudo,Mark Ainsworth,N
Laurence A. Wolsey,Robert Braden,N
Xian-Da Zhang,Christopher B. Jones,N
Jeffrey E. Wieselthier,Karl Rohr,N
Feng-Tse Lin,Chris Stary,N
Jun Ma,József Balogh,N
Honesty C. Young,Philippe Bessières,N
Bohdan Waszkowycz,Hajime Kita,N
Eun Tae Jeung,Célia Picinin de Mello,N
Sara Negri,Zhiying Jin,N
Young Francis Day,Kainam Thomas Wong,N
Robert C. Goldstein,Seungjin Whang,N
Ashok K. Goel 0001,Walter Cedeño,N
Pierpaolo Degano,Peter N. Steinmetz,N
Michele Angelaccio,David A. Patterson,N
Rex K. Kincaid,Kwok-kuen Tse,N
Arbee L. P. Chen,Elaine Cohen,N
Q. B. Chung,Jörg Noack,N
Jean-Bernard Martens,Francesca Rossi,N
Arthur T. White,Umpei Nagashima,N
Branko Grünbaum,Hrushikesh Narhar Mhaskar,N
Sakaé Fuchino,Suvrajeet Sen,N
Hugh Darwen,Jacques Desrosiers,N
Mark Ainsworth,Christian Heath,N
Huowang Chen,Fabio Neri,N
L. P. S. Singh,Jean-Luc Gauvain,N
Winfried Lamersdorf,Benoit M. Dawant,N
Lawrence B. Holder,Maurizio Panti,N
Jan Damsgaard,Tomoharu Nagao,N
Sungho Kang,Elisa Bertino,N
C. P. M. van Hoesel,Pierre Lalonde,N
Peter Rowlinson,Jacob Spoelstra,N
George G. Robertson,Michele Luglio,N
Ranjan K. Mallik,Rainer Herpers,N
Cherri M. Pancake,Jörg Rothe,N
S. H. Ong,Abba B. Gumel,N
Pekka Salminen,Gene Tsudik,N
Chris Pounder,Irfan Pyarali,N
Gerald Warnecke,Adam Krzyzak,N
Mario Winter,Sigmund Akselsen,N
