source,target
Arie van Deursen,Paul Klint
Arie van Deursen,Eelco Visser
Jan Heering,Eelco Visser
Paul Klint,Eelco Visser
Eugenio G. Omodeo,Marco Temperini
David Kortenkamp,Reid G. Simmons
Andrea Maggiolo-Schettini,Simone Tini
Roberto Bruni,Fabio Gadducci
Pedro Rangel Henriques,Marjan Mernik
Pedro Rangel Henriques,Mitja Lenic
Pedro Rangel Henriques,Enis Avdicausevic
Pedro Rangel Henriques,Viljem Zumer
Marjan Mernik,Mitja Lenic
Marjan Mernik,Enis Avdicausevic
Marjan Mernik,Viljem Zumer
Mitja Lenic,Enis Avdicausevic
Mitja Lenic,Viljem Zumer
Enis Avdicausevic,Viljem Zumer
Patrik Eklund,Manuel Ojeda-Aciego
Susanne Graf,Laurent Mounier
Michael Baldamus,Klaus Schneider 0001
Simon Ambler,Roy L. Crole
Maurice Bruynooghe,Francky Catthoor
Maurice Bruynooghe,Gerda Janssens
Francky Catthoor,Gerda Janssens
Ralph-Johan Back,Joakim von Wright
Ricardo L. de Queiroz,Richard G. Baraniuk
Matthias Müller-Hannemann,Karsten Weihe
Ugo Montanari,Vladimiro Sassone
Susan Stepney,Ian Toyn
Ulf Nilsson,Luís Moniz Pereira
Agostino Cortesi,Riccardo Focardi
Annegret Habel,Detlef Plump
Vincent van Oostrom,Roel C. de Vrijer
Danièle Beauquier,Yoram Hirshfeld
Danièle Beauquier,Alexander Moshe Rabinovich
Danièle Beauquier,Anatol Slissenko
Yoram Hirshfeld,Alexander Moshe Rabinovich
Yoram Hirshfeld,Anatol Slissenko
Alexander Moshe Rabinovich,Anatol Slissenko
John Derrick,Eerke A. Boiten
John Derrick,Jim Woodcock
John Derrick,Joakim von Wright
Eerke A. Boiten,Jim Woodcock
Eerke A. Boiten,Joakim von Wright
Jim Woodcock,Joakim von Wright
Roberto Bruni,José Meseguer
Roberto Bruni,Ugo Montanari
José Meseguer,Ugo Montanari
Franco Barbanera,Mariangiola Dezani-Ciancaglini
Franco Barbanera,Vladimiro Sassone
Mariangiola Dezani-Ciancaglini,Vladimiro Sassone
Monika Müllerburg,G. Michele Pinna
Hartmut Ehrig,Fernando Orejas
Luciano Baresi,Mauro Pezzè
Alessandra Di Pierro,Chris Hankin
T. Yung Kong,Gabor T. Herman
David A. Duce,David J. Duke
Marta Z. Kwiatkowska,Gethin Norman
Paolo Penna,Peter Widmayer
Agostino Dovier,Alberto Policriti
Pierpaolo Degano,Riccardo Focardi
Pierpaolo Degano,Roberto Gorrieri
Riccardo Focardi,Roberto Gorrieri
Hans-Jörg Kreowski,Sabine Kuske
Claude Kirchner,Luigi Liquori
Stephen L. Bloom,Zoltán Ésik
Joaquim Gabarró,Alan Stewart
Joaquim Gabarró,Maurice Clint
Alan Stewart,Maurice Clint
Eugenio G. Omodeo,Ernst-Erich Doberkat
María Alpuente,Salvador Lucas
Luigi V. Mancini,Francesco Parisi-Presicce
Gordon D. Plotkin,John Power
Steven Eker,Patrick Lincoln
Steven Eker,Carolyn L. Talcott
Patrick Lincoln,Carolyn L. Talcott
Andrea Corradini,Marina Lenisa
Andrea Corradini,Ugo Montanari
Marina Lenisa,Ugo Montanari
Giorgio C. Buttazzo,John N. Hooker
Giorgio C. Buttazzo,Claude Le Pape
Giorgio C. Buttazzo,Joseph Sifakis
John N. Hooker,Claude Le Pape
John N. Hooker,Joseph Sifakis
Claude Le Pape,Joseph Sifakis
Stephen D. Brookes,Michael W. Mislove
Marco Comini,Moreno Falaschi
Alexander Kurz 0001,Jirí Rosický
Hartmut Ehrig,Julia Padberg
Viviana Bono,Paola Giannini
Jeremy Gibbons,Graham Hutton
Rajiv Gupta 0001,Mary Lou Soffa
Patrik Eklund,Agustín Valverde
Manuel Ojeda-Aciego,Agustín Valverde
Jens Knoop,Wolf Zimmermann
Klaus Weihrauch,Ning Zhong 0002
Horst W. Hamacher,Anita Schöbel
Horst W. Hamacher,Dorothea Wagner
Horst W. Hamacher,Frank Wagner 0001
Anita Schöbel,Dorothea Wagner
Anita Schöbel,Frank Wagner 0001
Dorothea Wagner,Frank Wagner 0001
Manuel Clavel,José Meseguer
Ian J. Hayes,Paul A. Strooper
Patrick Cousot,Radhia Cousot
John C. Mitchell,Andre Scedrov
Elsa L. Gunter,Doron A. Peled
Manuel Ojeda-Aciego,Peter Vojtás
Frank Morawietz,Uwe Mönnich
Chris J. Myers,Tomohiro Yoneda
Pierre-Etienne Moreau,Christophe Ringeissen
Thom W. Frühwirth,Alessandra Di Pierro
Klaus Fischer 0001,Matthias Klusch
Dieter Hutter,Matthias Klusch
José Meseguer,Grigore Rosu
Jirí Adámek,Hans-E. Porst
María Alpuente,Moreno Falaschi
Richard Banach,Farhad Arbab
Richard Banach,George A. Papadopoulos
Roberto Bruni,Furio Honsell
Roberto Bruni,Marina Lenisa
Furio Honsell,Marina Lenisa
Stuart Anderson,John Power
Farhad Arbab,Frank S. de Boer
Farhad Arbab,Marcello M. Bonsangue
Frank S. de Boer,Marcello M. Bonsangue
Sergio Antoy,Salvador Lucas
Antonio Brogi,Nadia Busi
Antonio Brogi,Maurizio Gabbrielli
Antonio Brogi,Gianluigi Zavattaro
Nadia Busi,Maurizio Gabbrielli
Maurizio Gabbrielli,Gianluigi Zavattaro
Martin Hyland,John Power
Agostino Cortesi,Sabina Rossi
Agostino Cortesi,Baudouin Le Charlier
Sabina Rossi,Baudouin Le Charlier
Jianmin Hou,Oded Maler
Jianmin Hou,Sergio Yovine
Oded Maler,Sergio Yovine
Andrea Corradini,Fabio Gadducci
Tianzi Jiang,David J. Evans 0001
Benedetto Intrigila,Enrico Tronci
Benedetto Intrigila,Marisa Venturini Zilli
Enrico Tronci,Marisa Venturini Zilli
Maurice Herlihy,Sergio Rajsbaum
Maurice Herlihy,Mark R. Tuttle
Sergio Rajsbaum,Mark R. Tuttle
Jürgen Dix,Ken Satoh
David A. Basin,Luca Viganò 0001
Agostino Dovier,Maria Chiara Meo
Agostino Dovier,Andrea Omicini
Maria Chiara Meo,Andrea Omicini
David Lorge Parnas,Gunther Schmidt 0001
Steven Eker,José Meseguer
Alain Finkel,Jean-François Raskin
Kensei Tsuchida,Takeo Yaku
Wojciech Penczek,Antti Valmari
Achim Jung,Mathias Kegelmann
Achim Jung,M. Andrew Moshier
Mathias Kegelmann,M. Andrew Moshier
Rance Cleaveland,Gerald Lüttgen
Rocco De Nicola,Rosario Pugliese
K. G. Subramanian 0001,D. G. Thomas
K. G. Subramanian 0001,Do Long Van
D. G. Thomas,Do Long Van
Salvador Romaguera,Michel P. Schellekens
Hartmut Ehrig,Annegret Habel
Hartmut Ehrig,Francesco Parisi-Presicce
Annegret Habel,Francesco Parisi-Presicce
Antonio Brogi,Gian Luigi Ferrari
Mark van den Brand,Pierre-Etienne Moreau
Mark van den Brand,Christophe Ringeissen
Luciano Baresi,Gabriele Taentzer
Mauro Pezzè,Gabriele Taentzer
Riccardo Focardi,Andrea Maggiolo-Schettini
Riccardo Focardi,Simone Tini
Riccardo Focardi,Enrico Tronci
Roberto Gorrieri,Andrea Maggiolo-Schettini
Roberto Gorrieri,Simone Tini
Roberto Gorrieri,Enrico Tronci
Andrea Maggiolo-Schettini,Enrico Tronci
Simone Tini,Enrico Tronci
Volker Wulf,Matthias Jarke
Solomon Eyal Shimony,Ephraim Nissan
Carole D. Hafner,Edwina L. Rissland
Jiri Pospichal,Vladimir Kvasnicka
Ivan De Falco,Ernesto Tarantino
Marco Tomassini,Mathieu Perrenoud
Ramaswamy Palaniappan,Paramesran Raveendran
Lonnie R. Welch,Behrooz A. Shirazi
Ana García-Fornes,Vicente J. Botti
John A. Stankovic,Sang Hyuk Son
John A. Stankovic,Gang Tao
Sang Hyuk Son,Gang Tao
David L. Levine,Douglas C. Schmidt
Sung Deok Cha,Yong Rae Kwon
Roberto Marcondes Cesar Junior,Luciano da Fontoura Costa
Rynson W. H. Lau,Hong Va Leong
Rynson W. H. Lau,Antonio Si
Mark Green,Hong Va Leong
Mark Green,Antonio Si
Hong Va Leong,Antonio Si
Sijing Zhang,Alan Burns
Sijing Zhang,Ahmed Mehaoua
Sijing Zhang,E. Stewart Lee
Sijing Zhang,Hongji Yang
Alan Burns,Ahmed Mehaoua
Alan Burns,E. Stewart Lee
Alan Burns,Hongji Yang
Ahmed Mehaoua,E. Stewart Lee
Ahmed Mehaoua,Hongji Yang
E. Stewart Lee,Hongji Yang
Peter C. Y. Chen,Walter Murray Wonham
Alan Burns,Robert I. Davis
Joachim Wegener,Frank Mueller
Song Wang,Kwei-Jay Lin
Douglas C. Schmidt,Aniruddha S. Gokhale
Joseph Kee-Yin Ng,Shibin Song
Eduardo Tovar,Alan Burns
John P. Lehoczky,Lui Sha
John P. Lehoczky,Kang G. Shin
Edgar Nett,Michael Mock
Rhan Ha,Jane W.-S. Liu
Sang Lyul Min,Jane W.-S. Liu
Lui Sha,Tarek F. Abdelzaher
Lisa Cingiser DiPippo,Victor Fay Wolfe
Lisa Cingiser DiPippo,Bhavani M. Thuraisingham
Victor Fay Wolfe,Bhavani M. Thuraisingham
Enrico Pontelli,Douglas J. Gillan
Enrico Pontelli,Arthur I. Karshmer
Douglas J. Gillan,Gopal Gupta
Douglas J. Gillan,Arthur I. Karshmer
Gopal Gupta,Arthur I. Karshmer
Giorgio P. Faconti,Michael D. Wilson
Mieke Massink,Michael D. Wilson
Constantine Stephanidis,Demosthenes Akoumianakis
Jon May,David J. Duke
Alan F. Newell,Peter Gregor
Paola Carrara,Daniela Fogli
Paola Carrara,Piero Mussio
Daniela Fogli,Piero Mussio
Afzal Ballim,Yorick Wilks
Afzal Ballim,Christian Lieske
Yorick Wilks,Christian Lieske
Gregor von Laszewski,Denis A. Nicole
Alexandros V. Gerbessiotis,Constantinos J. Siniolakis
Stephen Taylor,Brian Knight
Christos Kaklamanis,Giuseppe Persiano
David B. Skillicorn,Domenico Talia
Mojmír Kretínský,Jean-Marie Jacquet
Mojmír Kretínský,David R. Gilbert
Jean-Marie Jacquet,David R. Gilbert
Kurt Maly,Ying Li
Reiko Heckel,Hartmut Ehrig
Reiko Heckel,Uwe Wolter
Reiko Heckel,Andrea Corradini
Hartmut Ehrig,Uwe Wolter
Hartmut Ehrig,Andrea Corradini
Uwe Wolter,Andrea Corradini
Bernhard Banaschewski,Ales Pultr
Jirí Adámek,Horst Herrlich
Jirí Adámek,Jirí Rosický
Jirí Adámek,Walter Tholen
Horst Herrlich,Jirí Rosický
Horst Herrlich,Walter Tholen
Jirí Rosický,Walter Tholen
Maria Manuel Clementino,Eraldo Giuli
Maria Manuel Clementino,Walter Tholen
Eraldo Giuli,Walter Tholen
Ales Pultr,Anna Tozzi
Stephen L. Bloom,Anna Labella
Zoltán Ésik,Anna Labella
Enrico Giunchiglia,Moshe Y. Vardi
John Gimbel,Jaroslav Nesetril
Tomasz Schoen,Anand Srivastav
Steven T. Dougherty,T. Aaron Gulliver
János Körner,Angelo Monti
Wilfried Imrich,Janez Zerovnik
Pavol Hell,Sulamita Klein
Dieter Jungnickel,Vladimir D. Tonchev
Fang-Wei Fu,Torleiv Kløve
Torleiv Kløve,Victor K. Wei
Jean E. Dunbar,Marietjie Frick
John Mitchem,Edward F. Schmeichel
Sandi Klavzar,Riste Skrekovski
Martin Loebl,Jaroslav Nesetril
Martin Loebl,Bruce A. Reed
Jaroslav Nesetril,Bruce A. Reed
Henry A. Kautz,Dimitris Achlioptas
Henry A. Kautz,Carla P. Gomes
Henry A. Kautz,Bart Selman
Henry A. Kautz,Mark E. Stickel
Dimitris Achlioptas,Carla P. Gomes
Dimitris Achlioptas,Bart Selman
Dimitris Achlioptas,Mark E. Stickel
Carla P. Gomes,Mark E. Stickel
Bart Selman,Mark E. Stickel
Colin McDiarmid,Bruce A. Reed
Daniel Augot,Claude Carlet
Lars R. Knudsen,Chris J. Mitchell
Tiziana Calamoneri,Rossella Petreschi
David C. Fisher,Kathryn Fraughnaugh
David C. Fisher,Suzanne M. Seager
Kathryn Fraughnaugh,Suzanne M. Seager
Bert Randerath,Ewald Speckenmeyer
Bert Randerath,Endre Boros
Bert Randerath,Peter L. Hammer
Bert Randerath,Alexander Kogan
Bert Randerath,Kazuhisa Makino
Bert Randerath,Bruno Simeone
Bert Randerath,Ondrej Cepek
Ewald Speckenmeyer,Endre Boros
Ewald Speckenmeyer,Peter L. Hammer
Ewald Speckenmeyer,Alexander Kogan
Ewald Speckenmeyer,Kazuhisa Makino
Ewald Speckenmeyer,Bruno Simeone
Ewald Speckenmeyer,Ondrej Cepek
Endre Boros,Peter L. Hammer
Endre Boros,Alexander Kogan
Endre Boros,Kazuhisa Makino
Endre Boros,Bruno Simeone
Endre Boros,Ondrej Cepek
Peter L. Hammer,Alexander Kogan
Peter L. Hammer,Kazuhisa Makino
Peter L. Hammer,Ondrej Cepek
Alexander Kogan,Bruno Simeone
Alexander Kogan,Ondrej Cepek
Kazuhisa Makino,Bruno Simeone
Kazuhisa Makino,Ondrej Cepek
Bruno Simeone,Ondrej Cepek
Fedor V. Fomin,Martín Matamala
Fedor V. Fomin,Erich Prisner
Fedor V. Fomin,Ivan Rapaport
Martín Matamala,Erich Prisner
Martín Matamala,Ivan Rapaport
Erich Prisner,Ivan Rapaport
Aurora Morgana,Célia Picinin de Mello
Kiyoshi Ando,Atsushi Kaneko
José Ignacio Farrán,Carlos Munuera
Toby Berger,Vladimir I. Levenshtein
Guillaume Fertin,André Raspaud
Atsuhiro Nakamoto,Katsuhiro Ota
Atsuhiro Nakamoto,Mamoru Watanabe
Katsuhiro Ota,Mamoru Watanabe
F. Aguiló,Ester Simó
F. Aguiló,Marisa Zaragozá
Ester Simó,Marisa Zaragozá
Celina M. H. de Figueiredo,Jayme Luiz Szwarcfiter
Francesc Comellas,Miguel Angel Fiol
Cunsheng Ding,Chaoping Xing
Vitaly I. Voloshin,Heinz-Jürgen Voss
Hajo Broersma,Ulrich Faigle
Hajo Broersma,Johann Hurink
Ulrich Faigle,Johann Hurink
Alexander Barg,Gérard D. Cohen
Alexander Barg,Sylvia B. Encheva
Alexander Barg,Gilles Zémor
Gérard D. Cohen,Sylvia B. Encheva
Gérard D. Cohen,Gilles Zémor
Sylvia B. Encheva,Gilles Zémor
Gérard D. Cohen,Simon Litsyn
Sylvia B. Encheva,Simon Litsyn
Joaquim Borges,Josep Rifà
Joaquim Borges,Victor A. Zinoviev
Josep Rifà,Victor A. Zinoviev
Jaroslav Nesetril,Marc Noy
Jaroslav Nesetril,Oriol Serra
Marc Noy,Oriol Serra
Jin Akiyama,Gisaku Nakamura
Sándor P. Fekete,Ekkehard Köhler
Sándor P. Fekete,Jürgen Teich
Ekkehard Köhler,Jürgen Teich
Subhamoy Maitra,Thomas Johansson 0001
Thomas Johansson 0001,Palash Sarkar 0001
Emina Soljanin,Elke Offer
David Pokrass Jacobs,Vilmar Trevisan
Abilio Lucena,Mauricio G. C. Resende
Yoshiharu Kohayakawa,Flávio Keidi Miyazawa
Yoshiharu Kohayakawa,Prabhakar Raghavan
Yoshiharu Kohayakawa,Yoshiko Wakabayashi
Flávio Keidi Miyazawa,Prabhakar Raghavan
Flávio Keidi Miyazawa,Yoshiko Wakabayashi
Prabhakar Raghavan,Yoshiko Wakabayashi
Guy Louchard,Helmut Prodinger
Alexei E. Ashikhmin,Simon Litsyn
Alexander Barg,Simon Litsyn
Maarten de Rijke,Johan van Benthem
Arie M. C. A. Koster,Hans L. Bodlaender
Hans L. Bodlaender,Stan P. M. van Hoesel
Jörn Müller-Quade,Hideki Imai
Vincent Bouchitté,Dieter Kratsch
Vincent Bouchitté,Haiko Müller
Dieter Kratsch,Haiko Müller
Ryan B. Hayward,William J. Lenhart
Anne Berry,Jean Paul Bordat
Lefteris M. Kirousis,Michele Zito
Yannis C. Stamatiou,Michele Zito
Yoshimi Egawa,Katsumi Inoue
Eddie Cheng,Marc J. Lipman
Patricio V. Poblete,Alfredo Viola
Federico Malucelli,Sara Nicoloso
Tao Jiang 0003,Douglas B. West
Bill Jackson,Tibor Jordán
Milind Dawande,Chelliah Sriskandarajah
Christine Bachoc,Philippe Gaborit
Zoltán Füredi,András Gyárfás
Zoltán Füredi,Miklós Ruszinkó
András Gyárfás,Miklós Ruszinkó
Joseph Boutros,Gilles Zémor
Douglas Bauer,Hajo Broersma
Douglas Bauer,Edward F. Schmeichel
Hajo Broersma,Edward F. Schmeichel
Sylvain Gravier,Frédéric Maffray
Sylvain Gravier,Bojan Mohar
Frédéric Maffray,Bojan Mohar
Milind Dawande,Jayant Kalagnanam
Eddie Cheng,Jerrold W. Grossman
Jerrold W. Grossman,Marc J. Lipman
Peter Frankl,Gyula Y. Katona
Manoel B. Campêlo,Ricardo C. Corrêa
Manoel B. Campêlo,Nelson Maculan
Ricardo C. Corrêa,Nelson Maculan
Atsuhiro Nakamoto,Seiya Negami
Seiya Negami,Katsuhiro Ota
Guy Melançon,I. Dutour
Guy Melançon,Mireille Bousquet-Mélou
I. Dutour,Mireille Bousquet-Mélou
Yousef Alavi,Jiuqiang Liu
Peter D. Johnson Jr.,Christopher A. Rodger
Ahmed M. Assaf,L. P. S. Singh
Carlo Blundo,Carles Padró
Blaz Zmazek,Janez Zerovnik
Patrick Solé,Bruno Martin
Eric Horvitz,Carla P. Gomes
Eric Horvitz,Henry A. Kautz
Eric Horvitz,Bart Selman
Eric Horvitz,David Maxwell Chickering
Carla P. Gomes,David Maxwell Chickering
Henry A. Kautz,David Maxwell Chickering
Bart Selman,David Maxwell Chickering
Harry B. Hunt III,Madhav V. Marathe
Madhav V. Marathe,Richard Edwin Stearns
San Ling,Patrick Solé
Hazel Everett,Celina M. H. de Figueiredo
Hazel Everett,Sulamita Klein
Hazel Everett,Bruce A. Reed
Celina M. H. de Figueiredo,Sulamita Klein
Celina M. H. de Figueiredo,Bruce A. Reed
Sulamita Klein,Bruce A. Reed
Wayne Goddard,Michael A. Henning
Xueliang Li 0001,Hajo Broersma
Cyril Gavoille,Christophe Paul
Francisco Larrión,Victor Neumann-Lara
José Mario Martínez,Marcos Raydan
Iain S. Duff,Roldan Pozo
Brigitte Verdonk,Annie A. M. Cuyt
Xiaoye S. Li,James Demmel
Xiaoye S. Li,David H. Bailey
Xiaoye S. Li,William Kahan
James Demmel,David H. Bailey
James Demmel,William Kahan
David H. Bailey,William Kahan
Ananth Grama,Naren Ramakrishnan
Ronald F. Boisvert,Jack J. Dongarra
Patrick Amestoy,Xiaoye S. Li
Iain S. Duff,Xiaoye S. Li
Fred G. Gustavson,Robert A. van de Geijn
Mark S. Gockenbach,William W. Symes
Ladislav Luksan,Jan Vlcek
Steven J. Brams,Peter C. Fishburn
Itzhak Gilboa,David Schmeidler
Walter Bossert,Hans Peters
Anne van den Nouweland,Stef Tijs
Ashish Goel,Cauligi S. Raghavendra
Edward Chan,Kam-yiu Lam
Rong-Jaye Chen,Yi-Bing Lin
Sem C. Borst,Edward G. Coffman Jr.
Sem C. Borst,Edgar N. Gilbert
Edward G. Coffman Jr.,Edgar N. Gilbert
Ibrahim Matta,Sampath Rangarajan
Jean Frédéric Myoupo,Ivan Stojmenovic
Benny Van Houdt,Chris Blondia
Benny Van Houdt,Olga Casals
Benny Van Houdt,Jorge García-Vidal
Chris Blondia,Olga Casals
Chris Blondia,Jorge García-Vidal
Olga Casals,Jorge García-Vidal
S. Muthukrishnan,Rajmohan Rajaraman
Prosenjit Bose,Evangelos Kranakis
Prosenjit Bose,Christos Kaklamanis
Prosenjit Bose,Lefteris M. Kirousis
Prosenjit Bose,Danny Krizanc
Prosenjit Bose,David Peleg
Evangelos Kranakis,Christos Kaklamanis
Evangelos Kranakis,David Peleg
Christos Kaklamanis,Lefteris M. Kirousis
Christos Kaklamanis,Danny Krizanc
Christos Kaklamanis,David Peleg
Lefteris M. Kirousis,David Peleg
Danny Krizanc,David Peleg
Miro Kraetzl,Walter D. Wallis
Miro Kraetzl,Horst Bunke
Walter D. Wallis,Horst Bunke
Rino Falcone,Cristiano Castelfranchi
R. Peter Bonasso,David Kortenkamp
Pavol Hell,Ron Shamir
Ravi Kumar 0001,Ronitt Rubinfeld
Joseph Y. Halpern,Yoram Moses
Joseph Y. Halpern,Orli Waarts
Yoram Moses,Orli Waarts
Christoph Dürr,Miklos Santha
Pangfeng Liu,William Aiello
Pangfeng Liu,Sandeep N. Bhatt
Monika Rauch Henzinger,Valerie King
Felipe Cucker,Dima Grigoriev
Vojtech Rödl,Andrzej Rucinski 0001
Alexander Russell,Michael E. Saks
Michael E. Saks,David Zuckerman
Carlo Mereghetti,Giovanni Pighizzini
Ketan Mulmuley,Milind A. Sohoni
Hagit Attiya,Sergio Rajsbaum
Etienne Grandjean,Thomas Schwentick
Alain J. Mayer,Rafail Ostrovsky
Alain J. Mayer,Yoram Ofek
Alain J. Mayer,Moti Yung
Rafail Ostrovsky,Yoram Ofek
Rafail Ostrovsky,Moti Yung
Yoram Ofek,Moti Yung
Yoram Moses,Sergio Rajsbaum
Baruch Awerbuch,Stefano Leonardi
Yossi Azar,Stefano Leonardi
Frank Hoffmann 0002,Christian Icking
Frank Hoffmann 0002,Rolf Klein
Christian Icking,Rolf Klein
Christian Icking,Klaus Kriegel
Rolf Klein,Klaus Kriegel
Martin E. Dyer,Mark Jerrum
Alan M. Frieze,Mark Jerrum
Joachim Gudmundsson,Christos Levcopoulos
Joachim Gudmundsson,Giri Narasimhan
Christos Levcopoulos,Giri Narasimhan
Harry Buhrman,Peter Bro Miltersen
Harry Buhrman,Jaikumar Radhakrishnan
Harry Buhrman,Srinivasan Venkatesh 0001
Peter Bro Miltersen,Jaikumar Radhakrishnan
Peter Bro Miltersen,Srinivasan Venkatesh 0001
Zhi-Zhong Chen,Xin He
Harry Buhrman,Lance Fortnow
Eli Ben-Sasson,Alexander A. Razborov
Alexander A. Razborov,Avi Wigderson
Pankaj K. Agarwal,Therese C. Biedl
Pankaj K. Agarwal,Sylvain Lazard
Pankaj K. Agarwal,Steve Robbins
Pankaj K. Agarwal,Subhash Suri
Pankaj K. Agarwal,Sue Whitesides
Therese C. Biedl,Sylvain Lazard
Therese C. Biedl,Steve Robbins
Therese C. Biedl,Subhash Suri
Therese C. Biedl,Sue Whitesides
Sylvain Lazard,Steve Robbins
Sylvain Lazard,Subhash Suri
Sylvain Lazard,Sue Whitesides
Steve Robbins,Subhash Suri
Steve Robbins,Sue Whitesides
Subhash Suri,Sue Whitesides
Guy Even,Sudipto Guha
Guy Even,Baruch Schieber
Sudipto Guha,Baruch Schieber
Peter Auer,Yoav Freund
Peter Auer,Robert E. Schapire
Nicolò Cesa-Bianchi,Yoav Freund
Nicolò Cesa-Bianchi,Robert E. Schapire
Yoav Freund,Robert E. Schapire
Stefano Leonardi,Alberto Marchetti-Spaccamela
Stefano Leonardi,Adi Rosén
Alberto Marchetti-Spaccamela,Adi Rosén
Anna Gál,Adi Rosén
Antonín Kucera,Theodore A. Slaman
Yijie Han,Xiaojun Shen
Gen-Huey Chen,Ming-Yang Kao
Gen-Huey Chen,Yuh-Dauh Lyuu
Ming-Yang Kao,Yuh-Dauh Lyuu
Joan Feigenbaum,Sampath Kannan
Joan Feigenbaum,Martin Strauss 0001
Sampath Kannan,Martin Strauss 0001
Frank Thomson Leighton,Satish Rao
Frank Thomson Leighton,Aravind Srinivasan
Satish Rao,Aravind Srinivasan
Amotz Bar-Noy,Sudipto Guha
Sudipto Guha,Joseph Naor
Endre Boros,Vladimir Gurvich
Endre Boros,Leonid Khachiyan
Vladimir Gurvich,Leonid Khachiyan
Vladimir Gurvich,Kazuhisa Makino
Leonid Khachiyan,Kazuhisa Makino
Michele Boreale,Rocco De Nicola
Michele Boreale,Rosario Pugliese
Richard Cole 0001,Ramesh Hariharan
Joan Boyar,Kim S. Larsen
Moses Charikar,Samir Khuller
Moses Charikar,Balaji Raghavachari
Samir Khuller,Balaji Raghavachari
Thomas Eiter,Toshihide Ibaraki
Thomas Eiter,Kazuhisa Makino
Nader H. Bshouty,Yishay Mansour
Denis Thérien,Thomas Wilke
Harry Buhrman,Luc Longpré
Eli Gafni,Michael Mitzenmacher
Michael Luby,Dana Randall
Michael Luby,Alistair Sinclair
Dana Randall,Alistair Sinclair
Venkatesan Guruswami,Johan Håstad
Venkatesan Guruswami,Madhu Sudan
Ashim Garg,Roberto Tamassia
Chandra Chekuri,Rajeev Motwani
Chandra Chekuri,Clifford Stein
Rajeev Motwani,Clifford Stein
Paul Beame,Richard M. Karp
Richard M. Karp,Toniann Pitassi
Richard M. Karp,Michael E. Saks
Toniann Pitassi,Michael E. Saks
Vwani P. Roychowdhury,Farrokh Vatan
Cyril Gavoille,David Peleg
Uriel Feige,Magnús M. Halldórsson
Uriel Feige,Guy Kortsarz
Uriel Feige,Aravind Srinivasan
Magnús M. Halldórsson,Aravind Srinivasan
Guy Kortsarz,Aravind Srinivasan
Edith Hemaspaandra,Gerd Wechsung
Amir M. Ben-Amram,Zvi Galil
János Pach,Gábor Tardos
Vasek Chvátal,Jean Fonlupt
Hsien-Kuei Hwang,Ralph Neininger
Klaus R. Dittrich,Andreas Geppert
Anastasia Analyti,Panos Constantopoulos
Anastasia Analyti,Nicolas Spyratos
Panos Constantopoulos,Nicolas Spyratos
Kam-yiu Lam,Tei-Wei Kuo
Kam-yiu Lam,Ben Kao
Tei-Wei Kuo,Ben Kao
Sergio Greco,Sumit Ganguly
Sergio Greco,Carlo Zaniolo
Sumit Ganguly,Carlo Zaniolo
Sudipto Guha,Rajeev Rastogi
Sudipto Guha,Kyuseok Shim
Rajeev Rastogi,Kyuseok Shim
Patrick E. O'Neil,Kenneth A. Ross
Panos Vassiliadis,Christoph Quix
Panos Vassiliadis,Yannis Vassiliou
Panos Vassiliadis,Matthias Jarke
Christoph Quix,Yannis Vassiliou
Christoph Quix,Matthias Jarke
Yannis Vassiliou,Matthias Jarke
Mokrane Bouzeghoub,Maurizio Lenzerini
Klaus R. Dittrich,Yanchun Zhang
Klaus R. Dittrich,Yahiko Kambayashi
Yanchun Zhang,Yahiko Kambayashi
Krithi Ramamritham,Jayant R. Haritsa
Krithi Ramamritham,John A. Stankovic
Jayant R. Haritsa,John A. Stankovic
Stéphane Bressan,Beng Chin Ooi
Nikos I. Karacapilidis,Dimitris Papadias
Panos Vassiliadis,Timos K. Sellis
Hong Jiang,Alain Billionnet
Ashish Gupta 0001,Inderpal Singh Mumick
Ashish Gupta 0001,Kenneth A. Ross
Inderpal Singh Mumick,Kenneth A. Ross
Oscar Díaz,Mario Piattini
Panayiotis Bozanis,Yannis Manolopoulos
Xiaofang Zhou,Guihai Chen
Craig A. Knoblock,Steven Minton
Qing Li 0001,Kamalakar Karlapalem
Hongjun Lu,Stuart E. Madnick
Hongjun Lu,David Wai-Lok Cheung
Stuart E. Madnick,David Wai-Lok Cheung
Ling Liu 0001,Calton Pu
Mira Balaban,Peretz Shoval
Christian S. Jensen,Curtis E. Dyreson
Venkatraman Balasubramanian 0001,Michael Bieber
Venkatraman Balasubramanian 0001,Tomás Isakowitz
Michael Bieber,Tomás Isakowitz
Mong-Li Lee,Tok Wang Ling
Ben Kao,David Wai-Lok Cheung
Tharam S. Dillon,James N. K. Liu
K. Selçuk Candan,Wen-Syan Li
Tomi Männistö,Reijo Sulonen
Peter P. Chen,Reind P. van de Riet
Paul Klint,Chris Verhoef
Michael Schrefl,Mukesh K. Mohania
Danilo Montesi,Riccardo Torlone
J. Wenny Rahayu,Tharam S. Dillon
Tharam S. Dillon,David Taniar
Ying Ding 0001,Dieter Fensel
Alberto Belussi,Elisa Bertino
Alberto Belussi,Barbara Catania
Elisa Bertino,Barbara Catania
Martin S. Olivier,Ehud Gudes
Sanjay Kumar Madria,S. N. Maheshwari
Marion Mast,Vasiliki Demesticha
Christopher A. Welty,Nicola Guarino
